time, current, voltage, t1, t2
1339250699985, -0.1, 52.8, 26, 24
1339250701114, -0.1, 52.8, 21, 23
1339250701947, -0.1, 52.9, 21, 23
1339250702254, -0.1, 52.9, 21, 23
1339250702548, -0.1, 52.9, 21, 23
1339250702836, -0.1, 52.9, 21, 23
1339250703284, -0.1, 52.9, 21, 23
1339250703467, 0.0, 52.8, 21, 23
1339250703752, -0.1, 52.9, 21, 23
1339250704046, 0.0, 52.8, 21, 23
1339250704372, 0.0, 52.8, 21, 23
1339250704663, 0.0, 52.9, 21, 23
1339250704973, 0.0, 52.9, 21, 23
1339250705225, 0.0, 52.8, 21, 23
1339250705553, 0.0, 52.8, 21, 23
1339250705867, 0.0, 52.8, 21, 23
1339250706178, 0.0, 52.7, 21, 23
1339250706444, 0.0, 52.8, 21, 23
1339250706795, 0.0, 52.9, 21, 23
1339250707063, 0.0, 52.8, 21, 23
1339250707359, 0.0, 52.8, 21, 23
1339250707649, 0.0, 52.7, 21, 23
1339250707958, 0.0, 52.8, 21, 23
1339250708264, 0.0, 52.8, 21, 23
1339250708547, 0.0, 52.8, 21, 23
1339250708838, 0.0, 52.8, 21, 23
1339250709167, 0.0, 52.8, 22, 23
1339250709458, 0.0, 52.8, 22, 23
1339250709745, 0.0, 52.8, 22, 23
1339250710075, 0.0, 52.7, 22, 23
1339250710367, 0.0, 52.7, 21, 24
1339250710654, 0.0, 52.8, 21, 24
1339250710945, 0.0, 52.8, 21, 24
1339250711281, 0.0, 52.7, 21, 24
1339250711577, 0.0, 52.8, 21, 23
1339250711855, 0.0, 52.7, 21, 23
1339250712141, 0.0, 52.7, 21, 23
1339250712425, 0.0, 52.8, 21, 23
1339250712760, 0.0, 52.9, 21, 23
1339250713046, 0.0, 52.9, 21, 23
1339250713356, 0.0, 52.9, 21, 23
1339250713648, 0.0, 52.8, 21, 23
1339250713940, 0.0, 52.9, 21, 23
1339250714250, 0.0, 52.8, 21, 23
1339250714557, 0.0, 52.8, 21, 23
1339250714887, 0.0, 52.7, 21, 23
1339250715147, 0.0, 52.7, 22, 23
1339250715458, 0.0, 52.8, 22, 23
1339250715745, 0.0, 52.9, 22, 23
1339250716047, 0.0, 52.8, 22, 23
1339250716369, 0.0, 52.8, 21, 23
1339250716657, 0.0, 52.8, 21, 23
1339250716971, 0.0, 52.9, 21, 23
1339250717264, 0.0, 52.8, 21, 23
1339250717536, 0.0, 52.9, 21, 24
1339250717854, 0.1, 52.9, 21, 24
1339250718146, 0.1, 53.0, 21, 24
1339250718478, 0.1, 52.9, 21, 24
1339250718734, 0.1, 52.8, 21, 23
1339250719063, 0.1, 52.9, 21, 23
1339250719348, 0.1, 52.9, 21, 23
1339250719657, 0.1, 52.8, 21, 23
1339250719976, 0.1, 52.9, 21, 23
1339250720244, 0.1, 52.7, 21, 23
1339250720580, 0.1, 52.8, 21, 23
1339250720837, 0.1, 52.9, 21, 23
1339250721157, 0.1, 52.8, 22, 23
1339250721467, 0.1, 52.8, 22, 23
1339250721779, 0.1, 52.8, 22, 23
1339250722041, 0.1, 52.8, 22, 23
1339250722353, 0.1, 52.7, 21, 24
1339250722662, 0.1, 52.9, 21, 24
1339250722955, 0.1, 52.9, 21, 24
1339250723234, 0.1, 52.9, 21, 24
1339250723551, 0.1, 52.9, 22, 23
1339250723863, 0.1, 52.9, 22, 23
1339250724137, 0.1, 52.8, 22, 23
1339250724449, 0.1, 52.8, 22, 23
1339250724745, 0.1, 52.9, 21, 23
1339250725056, 0.1, 52.9, 21, 23
1339250725376, 0.1, 52.8, 21, 23
1339250725668, 0.1, 52.9, 21, 23
1339250725938, 0.1, 52.8, 21, 23
1339250726244, 0.1, 52.9, 21, 23
1339250726535, 0.1, 52.9, 21, 23
1339250726845, 0.1, 52.9, 21, 23
1339250727143, 0.1, 52.9, 21, 23
1339250727464, 0.1, 52.9, 21, 23
1339250727739, 0.1, 52.9, 21, 23
1339250728024, 0.1, 52.8, 21, 23
1339250728349, 0.1, 52.9, 22, 23
1339250728633, 0.1, 52.9, 22, 23
1339250728947, 0.1, 52.9, 22, 23
1339250729234, 0.1, 52.9, 22, 23
1339250729538, 0.1, 52.9, 22, 23
1339250729838, 0.1, 52.8, 22, 23
1339250730124, 0.1, 52.8, 22, 23
1339250730437, 0.1, 52.8, 22, 23
1339250730756, 0.1, 53.0, 21, 23
1339250731067, 0.1, 52.8, 21, 23
1339250731335, 0.1, 52.8, 21, 23
1339250731647, 0.1, 52.9, 21, 23
1339250731966, 0.1, 52.9, 21, 23
1339250732244, 0.1, 52.9, 21, 23
1339250732531, 0.1, 52.8, 21, 23
1339250732821, 0.1, 52.8, 21, 23
1339250733161, 0.1, 52.8, 21, 23
1339250733422, 0.1, 52.7, 21, 23
1339250733743, 0.1, 52.7, 21, 23
1339250734036, 0.1, 52.7, 21, 23
1339250734358, 0.1, 52.8, 21, 23
1339250734636, 0.1, 52.9, 21, 23
1339250734959, 0.1, 52.9, 21, 23
1339250735248, 0.1, 52.8, 21, 23
1339250735568, 0.1, 52.8, 21, 23
