time, fix, sats, latitute, longitude, sonar, alt, gps_alt, speed, CRS, roll, pitch, yaw
0, 1, 9, 59.9632190, 10.7357400, 0, 196.15, 180.96, 0.14, 61.81, -728, -134, 17909
1000, 1, 9, 59.9632190, 10.7357440, 0, 196.15, 181.3, 0.21, 67.23, -731, -158, 17899
2000, 1, 9, 59.9632190, 10.7357450, 0, 196.32, 181.66, 0.28, 73.74, -732, -181, 17898
3000, 1, 9, 59.9632190, 10.7357530, 0, 196.41, 182.04, 0.23, 78.6, -732, -155, 17898
4000, 1, 9, 59.9632190, 10.7357560, 0, 196.41, 182.45, 0.24, 80.29, -732, -148, 17898
5000, 1, 9, 59.9632190, 10.7357610, 0, 196.06, 182.85, 0.27, 83.16, -732, -162, 17898
6000, 1, 9, 59.9632190, 10.7357660, 0, 196.15, 183.24, 0.29, 86.18, -731, -162, 17898
7000, 1, 9, 59.9632190, 10.7357710, 0, 196.23, 183.66, 0.28, 86.51, -732, -153, 17898
8000, 1, 9, 59.9632190, 10.7357760, 0, 196.15, 184.05, 0.21, 84.97, -732, -130, 17898
9000, 1, 9, 59.9632190, 10.7357800, 0, 196.32, 184.47, 0.22, 83.85, -734, -140, 17897
10000, 1, 9, 59.9632190, 10.7357850, 0, 196.41, 184.92, 0.22, 82.63, -14, -71, 18152
11000, 1, 9, 59.9632190, 10.7357900, 0, 196.15, 185.36, 0.28, 80.85, 57, -88, 18503
12000, 1, 9, 59.9632260, 10.7357950, 0, 196.15, 185.83, 0.3, 72.99, -608, -47, 21273
13000, 1, 9, 59.9632260, 10.7358050, 0, 196.15, 186.66, 0.14, 69.78, 298, 287, 21518
14000, 1, 9, 59.9632260, 10.7358150, 0, 196.15, 187.19, 0.14, 76.91, -184, 39, 16162
15000, 1, 9, 59.9632190, 10.7358260, 0, 196.32, 187.42, 0.4, 93.09, -231, -68, 18229
16000, 1, 9, 59.9632110, 10.7358160, 0, 196.23, 186.34, 0.34, 107.18, -178, 137, 20240
17000, 1, 9, 59.9632000, 10.7358090, 0, 196.15, 185.58, 0.22, 115.42, -58, 258, 20414
18000, 1, 9, 59.9631920, 10.7358040, 0, 196.15, 185.38, 0.14, 120.85, -237, 244, 18455
19000, 1, 8, 59.9631880, 10.7357990, 0, 196.15, 185.18, 0.09, 128.12, -381, 660, 19569
20000, 1, 9, 59.9631810, 10.7357990, 0, 196.23, 185.11, 0.24, 144.46, 156, 79, 17920
21000, 1, 9, 59.9631690, 10.7357990, 0, 196.32, 185.38, 0.48, 163.73, 330, 105, 19965
22000, 1, 9, 59.9631610, 10.7357960, 0, 195.97, 185.51, 1.06, 172.34, -56, 87, 15987
23000, 1, 10, 59.9631500, 10.7357990, 0, 195.97, 185.67, 1.89, 169.62, 479, -223, 17664
24000, 1, 10, 59.9631230, 10.7357880, 0, 196.15, 185.86, 1.82, 169.3, 174, 21, 17342
25000, 1, 10, 59.9631040, 10.7357950, 0, 196.32, 185.99, 2.47, 166.97, 103, -111, 17212
26000, 1, 10, 59.9630850, 10.7358150, 0, 196.32, 186.11, 3.02, 163.08, 268, -671, 17001
27000, 1, 10, 59.9630580, 10.7358300, 0, 196.23, 186.07, 2.71, 158.45, -134, -333, 15255
28000, 1, 10, 59.9630390, 10.7358490, 0, 195.97, 186, 1.83, 153.59, 231, -370, 14473
29000, 1, 10, 59.9630320, 10.7358700, 0, 195.89, 186.01, 1.07, 129.9, -528, -82, 17644
30000, 1, 10, 59.9630280, 10.7358810, 0, 196.06, 186.03, 0.2, 123.7, 157, 321, 16067
31000, 1, 10, 59.9630280, 10.7358870, 0, 196.15, 186.06, 0.1, 332.65, 307, 235, 16533
32000, 1, 10, 59.9630280, 10.7358800, 0, 196.15, 186.14, 0.51, 149.31, 633, -148, 17472
33000, 1, 10, 59.9630320, 10.7358710, 0, 196.15, 186.24, 0.45, 154.37, 814, -278, 18506
34000, 1, 10, 59.9630280, 10.7358600, 0, 195.8, 186.38, 0.45, 163.45, 788, -219, 18797
35000, 1, 10, 59.9630280, 10.7358560, 0, 195.97, 186.48, 0.46, 189.07, 1094, -367, 19640
36000, 1, 10, 59.9630280, 10.7358660, 0, 196.06, 186.75, 0.32, 213.37, 1337, -487, 19939
37000, 1, 10, 59.9630390, 10.7358730, 0, 196.06, 187.14, 0.29, 235.11, 1600, -866, 20409
38000, 1, 10, 59.9630470, 10.7358810, 0, 196.15, 187.5, 0.26, 261.14, 1565, -759, 20424
39000, 1, 10, 59.9630550, 10.7358680, 0, 196.23, 188.08, 0.21, 280.28, 1782, -988, 20133
40000, 1, 10, 59.9630660, 10.7358530, 0, 195.97, 188.76, 0.21, 290.61, 1764, -889, 19909
41000, 1, 10, 59.9630660, 10.7358480, 0, 195.8, 189.1, 0.21, 296.22, 1646, 579, 14911
42000, 1, 9, 59.9630660, 10.7358450, 0, 195.97, 189.26, 0.14, 296.76, 534, 357, 13108
43000, 1, 9, 59.9630660, 10.7358440, 0, 196.15, 189.41, 0.17, 295.2, -515, -167, 11261
44000, 1, 8, 59.9630660, 10.7358400, 0, 196.15, 189.55, 0.15, 297.43, -1443, -1196, 9771
45000, 1, 10, 59.9630660, 10.7358360, 0, 196.15, 189.69, 0.17, 298.12, -1176, 516, 17286
46000, 1, 9, 59.9630660, 10.7358350, 0, 195.97, 189.84, 0.15, 297.02, -477, 639, 19232
47000, 1, 10, 59.9630660, 10.7358310, 0, 195.8, 189.98, 0.12, 293.26, -433, 662, 18531
48000, 1, 9, 59.9630660, 10.7358300, 0, 195.97, 190.12, 0.11, 289.5, 257, 100, 17432
49000, 1, 9, 59.9630660, 10.7358280, 0, 196.06, 190.27, 0.1, 284.92, 262, 537, 15050
50000, 1, 10, 59.9630660, 10.7358260, 0, 196.23, 190.41, 0.11, 276.12, 180, 592, 15407
51000, 1, 10, 59.9630580, 10.7358280, 0, 196.49, 190.71, 0.43, 270.8, -19, 263, 13826
