time, fix, sats, latitute, longitude, sonar, alt, gps_alt, speed, CRS, roll, pitch, yaw
0, 1, 6, 59.9631920, 10.7360070, 0, 207.95, 204.53, 0.02, 111.97, -953, 51, 17243
100, 1, 6, 59.9631920, 10.7360070, 0, 207.95, 204.53, 0.02, 111.97, -960, 50, 17242
200, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.04, 111.97, -965, 48, 17238
300, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.04, 111.97, -961, 47, 17234
400, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.03, 111.97, -955, 48, 17232
500, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.03, 111.97, -959, 48, 17231
600, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.03, 111.97, -965, 49, 17228
700, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.02, 111.97, -963, 49, 17224
800, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.53, 0.02, 111.97, -957, 50, 17222
900, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0.01, 111.97, -958, 52, 17221
1000, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0.01, 111.97, -965, 53, 17219
1100, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0.01, 111.97, -964, 54, 17216
1200, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0.01, 111.97, -965, 55, 17217
1300, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0.01, 111.97, -966, 55, 17214
1400, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0, 111.97, -961, 56, 17211
1500, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0, 111.97, -959, 57, 17213
1600, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0, 111.97, -967, 56, 17213
1700, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.52, 0.04, 111.97, -968, 54, 17210
1800, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.52, 0.04, 111.97, -960, 50, 17210
1900, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.52, 0.06, 111.97, -958, 48, 17212
2000, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.52, 0.06, 111.97, -968, 44, 17211
2100, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.52, 0.06, 111.97, -966, 44, 17208
2200, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.52, 0.02, 111.97, -960, 46, 17207
2300, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.52, 0.02, 111.97, -959, 47, 17206
2400, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.51, 0.01, 111.97, -965, 46, 17204
2500, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.51, 0.01, 111.97, -965, 49, 17203
2600, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.51, 0.01, 111.97, -961, 54, 17201
2700, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.51, 0.02, 111.97, -961, 53, 17200
2800, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.51, 0.02, 111.97, -964, 51, 17197
2900, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.04, 111.97, -963, 46, 17194
3000, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.04, 111.97, -958, 50, 17194
3100, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.04, 111.97, -960, 50, 17192
3200, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.01, 111.97, -964, 49, 17188
3300, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.01, 111.97, -955, 45, 17185
3400, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.02, 111.97, -953, 44, 17187
3500, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.02, 111.97, -956, 47, 17189
3600, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.02, 111.97, -961, 50, 17189
3700, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.02, 111.97, -962, 50, 17187
3800, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.02, 111.97, -957, 47, 17188
3900, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.05, 111.97, -956, 39, 17186
4000, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.5, 0.05, 111.97, -954, 34, 17188
4100, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.5, 0.05, 111.97, -954, 35, 17189
4200, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.5, 0.03, 111.97, -956, 38, 17188
4300, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.5, 0.03, 111.97, -958, 44, 17190
4400, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.01, 111.97, -958, 49, 17188
4500, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.01, 111.97, -961, 49, 17186
4600, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.01, 111.97, -957, 47, 17185
4700, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.05, 111.97, -957, 46, 17185
4800, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.05, 111.97, -961, 47, 17185
4900, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.49, 0.03, 111.97, -962, 49, 17183
5000, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.49, 0.03, 111.97, -960, 49, 17183
5100, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.49, 0.03, 111.97, -959, 48, 17181
5200, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.49, 0, 111.97, -958, 53, 17182
5300, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.49, 0, 111.97, -957, 59, 17180
5400, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.5, 0, 111.97, -963, 59, 17177
5500, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.5, 0, 111.97, -961, 60, 17179
5600, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.5, 0, 111.97, -957, 59, 17178
5700, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.5, 0.04, 111.97, -963, 56, 17177
5800, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.5, 0.04, 111.97, -967, 54, 17177
5900, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.03, 111.97, -965, 53, 17175
6000, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.03, 111.97, -961, 52, 17173
6100, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.03, 111.97, -959, 53, 17174
6200, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.01, 111.97, -964, 55, 17173
6300, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.01, 111.97, -966, 53, 17170
6400, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.05, 111.97, -961, 49, 17170
6500, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.05, 111.97, -959, 47, 17171
6600, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.49, 0.05, 111.97, -964, 45, 17170
6700, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.49, 0.04, 111.97, -966, 44, 17169
6800, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.49, 0.04, 111.97, -960, 43, 17169
6900, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.49, 0.04, 111.97, -967, 40, 17173
7000, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.49, 0.04, 111.97, -963, 44, 17176
7100, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.49, 0.04, 111.97, -947, 46, 17174
7200, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.01, 111.97, -916, 51, 17193
7300, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.01, 111.97, -918, 45, 17217
7400, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.5, 0.04, 111.97, -901, 29, 17229
7500, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.5, 0.04, 111.97, -788, 18, 17230
7600, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.04, 111.97, -595, 19, 17240
7700, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.1, 111.97, -399, 25, 17246
7800, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.1, 111.97, -287, 39, 17279
7900, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.1, 111.97, -238, 52, 17297
8000, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.17, 111.97, -219, 57, 17307
8100, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.17, 111.97, -208, 59, 17297
8200, 1, 7, 59.9631920, 10.7360050, 0, 208.31, 204.49, 0.14, 111.97, -184, 54, 17284
8300, 1, 7, 59.9631920, 10.7360050, 0, 208.31, 204.49, 0.14, 111.97, -159, 46, 17279
8400, 1, 7, 59.9631920, 10.7360050, 0, 208.22, 204.49, 0.14, 111.97, -152, 42, 17272
