time, voltage, current, dt, dah, dwh, useah, usewh, chgah, chgwh, t1, t2
1338740136899, 53.30, 0.00, 0, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 19, 20
1338740138099, 53.20, 0.00, 1200, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 19, 19
1338740139000, 53.10, 0.10, 901, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 19, 20
1338740139926, 53.20, 0.00, 926, 0.0257, 1.3658, 0.03, 1.37, 0.00, 0.00, 19, 20
1338740141149, 53.20, 0.10, 1223, 0.0000, 0.0000, 0.03, 1.37, 0.00, 0.00, 19, 20
1338740142017, 53.10, 0.00, 868, 0.0241, 1.2827, 0.05, 2.65, 0.00, 0.00, 19, 19
1338740142926, 53.20, 0.10, 909, 0.0000, 0.0000, 0.05, 2.65, 0.00, 0.00, 19, 19
1338740144089, 53.20, 0.10, 1163, 0.0323, 1.7187, 0.08, 4.37, 0.00, 0.00, 19, 19
1338740145052, 53.20, 0.20, 963, 0.0268, 1.4231, 0.11, 5.79, 0.00, 0.00, 19, 19
1338740145911, 53.10, 0.20, 859, 0.0477, 2.5388, 0.16, 8.33, 0.00, 0.00, 19, 20
1338740147141, 53.30, 0.20, 1230, 0.0683, 3.6285, 0.22, 11.96, 0.00, 0.00, 19, 20
1338740148023, 53.20, 0.20, 882, 0.0490, 2.6117, 0.27, 14.57, 0.00, 0.00, 19, 19
1338740148918, 53.20, 0.20, 895, 0.0497, 2.6452, 0.32, 17.21, 0.00, 0.00, 19, 19
1338740150129, 53.10, 0.20, 1211, 0.0673, 3.5792, 0.39, 20.79, 0.00, 0.00, 19, 19
1338740151050, 53.00, 0.20, 921, 0.0512, 2.7170, 0.44, 23.51, 0.00, 0.00, 19, 20
1338740151949, 53.20, 0.20, 899, 0.0499, 2.6471, 0.49, 26.16, 0.00, 0.00, 19, 19
1338740153023, 53.20, 0.20, 1074, 0.0597, 3.1743, 0.55, 29.33, 0.00, 0.00, 19, 19
1338740154057, 53.00, 0.20, 1034, 0.0574, 3.0560, 0.61, 32.39, 0.00, 0.00, 19, 19
1338740155167, 53.30, 0.20, 1110, 0.0617, 3.2683, 0.67, 35.66, 0.00, 0.00, 19, 19
1338740156210, 53.30, 0.20, 1043, 0.0579, 3.0884, 0.73, 38.74, 0.00, 0.00, 19, 19
1338740157366, 53.20, 0.20, 1156, 0.0642, 3.4230, 0.79, 42.17, 0.00, 0.00, 19, 20
1338740158028, 53.10, 0.20, 662, 0.0368, 1.9566, 0.83, 44.12, 0.00, 0.00, 19, 20
1338740159109, 53.20, 0.20, 1081, 0.0601, 3.1890, 0.89, 47.31, 0.00, 0.00, 19, 19
1338740159906, 53.10, 0.20, 797, 0.0443, 2.3556, 0.93, 49.67, 0.00, 0.00, 19, 19
1338740160950, 53.20, 0.20, 1044, 0.0580, 3.0798, 0.99, 52.75, 0.00, 0.00, 19, 19
1338740162068, 53.20, 0.20, 1118, 0.0621, 3.3043, 1.05, 56.05, 0.00, 0.00, 19, 19
1338740163049, 53.10, 0.20, 981, 0.0545, 2.8994, 1.11, 58.95, 0.00, 0.00, 19, 19
1338740163939, 53.10, 0.20, 890, 0.0494, 2.6255, 1.16, 61.58, 0.00, 0.00, 19, 19
1338740165134, 53.20, 0.20, 1195, 0.0664, 3.5252, 1.22, 65.10, 0.00, 0.00, 19, 19
1338740166026, 53.30, 0.20, 892, 0.0496, 2.6364, 1.27, 67.74, 0.00, 0.00, 19, 19
1338740166933, 53.20, 0.20, 907, 0.0504, 2.6857, 1.32, 70.43, 0.00, 0.00, 19, 19
1338740168147, 53.20, 0.20, 1214, 0.0674, 3.5880, 1.39, 74.01, 0.00, 0.00, 19, 20
1338740169030, 53.20, 0.20, 883, 0.0491, 2.6098, 1.44, 76.62, 0.00, 0.00, 19, 20
1338740169926, 53.10, 0.20, 896, 0.0498, 2.6482, 1.49, 79.27, 0.00, 0.00, 19, 20
1338740171233, 53.20, 0.20, 1307, 0.0726, 3.8557, 1.56, 83.13, 0.00, 0.00, 19, 19
1338740172048, 53.20, 0.20, 815, 0.0453, 2.4088, 1.61, 85.54, 0.00, 0.00, 19, 20
1338740172965, 53.20, 0.20, 917, 0.0509, 2.7102, 1.66, 88.25, 0.00, 0.00, 19, 20
1338740174144, 53.30, 0.20, 1179, 0.0655, 3.4846, 1.73, 91.73, 0.00, 0.00, 19, 19
1338740175032, 53.20, 0.20, 888, 0.0493, 2.6295, 1.77, 94.36, 0.00, 0.00, 19, 20
1338740175950, 53.10, 0.20, 918, 0.0510, 2.7132, 1.83, 97.07, 0.00, 0.00, 18, 19
1338740177146, 53.20, 0.20, 1196, 0.0664, 3.5282, 1.89, 100.60, 0.00, 0.00, 19, 20
1338740178059, 53.10, 0.20, 913, 0.0507, 2.6984, 1.94, 103.30, 0.00, 0.00, 19, 19
1338740178965, 53.10, 0.20, 906, 0.0503, 2.6727, 1.99, 105.97, 0.00, 0.00, 19, 19
1338740180166, 52.90, 5.20, 1201, 0.0667, 3.5430, 2.06, 109.52, 0.00, 0.00, 19, 20
1338740181046, 52.80, 5.40, 880, 1.2711, 67.2418, 3.33, 176.76, 0.00, 0.00, 19, 20
1338740181972, 52.80, 3.20, 926, 1.3890, 73.3392, 4.72, 250.10, 0.00, 0.00, 19, 20
1338740183212, 52.40, 9.80, 1240, 1.1022, 58.1973, 5.82, 308.29, 0.00, 0.00, 19, 20
1338740184102, 52.20, 11.10, 890, 2.4228, 126.9536, 8.24, 435.25, 0.00, 0.00, 19, 20
1338740184986, 52.60, 2.80, 884, 2.7257, 142.2798, 10.97, 577.53, 0.00, 0.00, 19, 20
1338740186155, 53.00, 0.20, 1169, 0.9092, 47.8251, 11.88, 625.35, 0.00, 0.00, 19, 20
1338740187070, 53.00, 0.40, 915, 0.0508, 2.6942, 11.93, 628.05, 0.00, 0.00, 19, 20
1338740187990, 52.40, 7.30, 920, 0.1022, 5.4178, 12.03, 633.46, 0.00, 0.00, 19, 19
1338740189173, 52.90, 2.30, 1183, 2.3989, 125.7003, 14.43, 759.16, 0.00, 0.00, 19, 20
1338740190101, 52.30, 9.10, 928, 0.5929, 31.3638, 15.02, 790.53, 0.00, 0.00, 19, 20
1338740190972, 52.30, 10.40, 871, 2.2017, 115.1486, 17.23, 905.68, 0.00, 0.00, 19, 20
1338740192164, 52.20, 10.40, 1192, 3.4436, 180.0980, 20.67, 1085.77, 0.00, 0.00, 19, 20
1338740193056, 52.10, 11.20, 892, 2.5769, 134.5136, 23.25, 1220.29, 0.00, 0.00, 19, 20
1338740193968, 52.00, 10.70, 912, 2.8373, 147.8251, 26.08, 1368.11, 0.00, 0.00, 19, 20
1338740195167, 52.00, 11.30, 1199, 3.5637, 185.3121, 29.65, 1553.43, 0.00, 0.00, 19, 19
1338740196142, 51.90, 11.40, 975, 3.0604, 159.1417, 32.71, 1712.57, 0.00, 0.00, 19, 19
1338740196961, 52.30, 5.30, 819, 2.5935, 134.6026, 35.30, 1847.17, 0.00, 0.00, 19, 19
1338740198170, 52.10, 8.50, 1209, 1.7799, 93.0896, 37.08, 1940.26, 0.00, 0.00, 19, 19
1338740199076, 52.00, 11.20, 906, 2.1392, 111.4506, 39.22, 2051.71, 0.00, 0.00, 19, 20
1338740199978, 52.00, 11.00, 902, 2.8062, 145.9236, 42.03, 2197.63, 0.00, 0.00, 19, 19
1338740201190, 51.90, 11.00, 1212, 3.7033, 192.5733, 45.73, 2390.21, 0.00, 0.00, 19, 20
1338740202060, 51.90, 10.60, 870, 2.6583, 137.9675, 48.39, 2528.17, 0.00, 0.00, 20, 20
1338740202963, 51.90, 9.80, 903, 2.6588, 137.9934, 51.05, 2666.17, 0.00, 0.00, 20, 20
1338740204190, 51.90, 9.40, 1227, 3.3402, 173.3546, 54.39, 2839.52, 0.00, 0.00, 19, 20
1338740205054, 52.00, 8.20, 864, 2.2560, 117.0864, 56.64, 2956.61, 0.00, 0.00, 20, 20
1338740205978, 52.10, 6.60, 924, 2.1047, 109.4427, 58.75, 3066.05, 0.00, 0.00, 20, 20
1338740207156, 52.10, 6.50, 1178, 2.1597, 112.5186, 60.91, 3178.57, 0.00, 0.00, 20, 20
1338740208061, 52.10, 7.60, 905, 1.6340, 85.1328, 62.54, 3263.70, 0.00, 0.00, 20, 20
1338740208956, 51.90, 8.50, 895, 1.8894, 98.4401, 64.43, 3362.14, 0.00, 0.00, 20, 20
1338740210131, 51.90, 8.80, 1175, 2.7743, 143.9865, 67.21, 3506.13, 0.00, 0.00, 20, 20
1338740211046, 52.00, 8.70, 915, 2.2367, 116.0830, 69.44, 3622.21, 0.00, 0.00, 20, 20
1338740211936, 52.00, 8.90, 890, 2.1508, 111.8433, 71.59, 3734.06, 0.00, 0.00, 21, 20
1338740213184, 52.00, 8.80, 1248, 3.0853, 160.4373, 74.68, 3894.49, 0.00, 0.00, 20, 20
1338740214073, 51.90, 8.60, 889, 2.1731, 113.0018, 76.85, 4007.50, 0.00, 0.00, 20, 19
1338740214940, 51.90, 8.50, 867, 2.0712, 107.4935, 78.92, 4114.99, 0.00, 0.00, 20, 19
1338740216140, 51.80, 7.60, 1200, 2.8333, 147.0500, 81.76, 4262.04, 0.00, 0.00, 20, 20
1338740217040, 52.00, 6.70, 900, 1.9000, 98.4200, 83.66, 4360.46, 0.00, 0.00, 20, 20
1338740217959, 52.10, 5.70, 919, 1.7104, 88.9388, 85.37, 4449.40, 0.00, 0.00, 20, 19
1338740219136, 52.40, 0.80, 1177, 1.8636, 97.0927, 87.23, 4546.49, 0.00, 0.00, 21, 20
1338740220056, 52.50, 0.20, 920, 0.2044, 10.7129, 87.43, 4557.20, 0.00, 0.00, 20, 20
1338740220955, 52.50, 0.20, 899, 0.0499, 2.6221, 87.48, 4559.83, 0.00, 0.00, 20, 20
1338740222128, 52.60, 0.20, 1173, 0.0652, 3.4212, 87.55, 4563.25, 0.00, 0.00, 20, 20
1338740223060, 52.60, 0.20, 932, 0.0518, 2.7235, 87.60, 4565.97, 0.00, 0.00, 21, 20
1338740223955, 52.60, 0.20, 895, 0.0497, 2.6154, 87.65, 4568.59, 0.00, 0.00, 20, 20
1338740225124, 52.60, -0.50, 1169, 0.0649, 3.4161, 87.72, 4572.00, 0.00, 0.00, 21, 20
1338740226039, 52.70, -0.70, 915, -0.1271, -6.6846, 87.72, 4572.00, 0.13, 6.68, 21, 20
1338740226907, 52.70, -0.70, 868, -0.1688, -8.8946, 87.72, 4572.00, 0.30, 15.58, 21, 20
1338740228150, 52.70, -0.60, 1243, -0.2417, -12.7373, 87.72, 4572.00, 0.54, 28.32, 21, 19
1338740229010, 52.70, -0.60, 860, -0.1433, -7.5537, 87.72, 4572.00, 0.68, 35.87, 21, 20
1338740229946, 52.70, -0.50, 936, -0.1560, -8.2212, 87.72, 4572.00, 0.84, 44.09, 21, 20
1338740231126, 52.90, -0.50, 1180, -0.1639, -8.6369, 87.72, 4572.00, 1.00, 52.73, 21, 20
1338740232050, 52.70, -0.50, 924, -0.1283, -6.7888, 87.72, 4572.00, 1.13, 59.52, 21, 20
1338740232920, 52.80, -0.50, 870, -0.1208, -6.3679, 87.72, 4572.00, 1.25, 65.89, 21, 20
1338740234142, 52.70, -0.40, 1222, -0.1697, -8.9613, 87.72, 4572.00, 1.42, 74.85, 21, 20
1338740235042, 52.70, -0.30, 900, -0.1000, -5.2700, 87.72, 4572.00, 1.52, 80.12, 21, 20
1338740235948, 52.80, -0.30, 906, -0.0755, -3.9788, 87.72, 4572.00, 1.60, 84.10, 31, 20
1338740237118, 52.80, -0.30, 1170, -0.0975, -5.1480, 87.72, 4572.00, 1.69, 89.24, 21, 20
