time, fix, sats, latitute, longitude, sonar, alt, gps_alt, speed, CRS, roll, pitch, yaw
0, 1, 6, 59.9631920, 10.7360070, 0, 207.95, 204.53, 0.02, 111.97, -953, 51, 17243
1000, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.53, 0.01, 111.97, -965, 53, 17219
2000, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.52, 0.06, 111.97, -968, 44, 17211
3000, 1, 7, 59.9631920, 10.7360070, 0, 208.31, 204.5, 0.04, 111.97, -958, 50, 17194
4000, 1, 7, 59.9631920, 10.7360070, 0, 208.13, 204.5, 0.05, 111.97, -954, 34, 17188
5000, 1, 7, 59.9631920, 10.7360070, 0, 207.95, 204.49, 0.03, 111.97, -960, 49, 17183
6000, 1, 7, 59.9631920, 10.7360070, 0, 208.04, 204.49, 0.03, 111.97, -961, 52, 17173
7000, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.49, 0.04, 111.97, -963, 44, 17176
8000, 1, 7, 59.9631920, 10.7360070, 0, 208.22, 204.5, 0.17, 111.97, -219, 57, 17307
9000, 1, 7, 59.9631920, 10.7360030, 0, 208.22, 204.49, 0.03, 111.97, -178, 61, 17226
10000, 1, 7, 59.9631920, 10.7360030, 0, 208.22, 204.47, 0.09, 111.97, -238, 54, 17184
11000, 1, 7, 59.9631920, 10.7360050, 0, 207.95, 204.46, 0.2, 111.97, 1705, 64, 17276
12000, 1, 7, 59.9631880, 10.7360070, 0, 208.13, 204.42, 0.38, 92.42, 452, 25, 17015
13000, 1, 7, 59.9631880, 10.7360160, 0, 208.13, 204.43, 0.73, 91.09, -48, 0, 17025
14000, 1, 7, 59.9631880, 10.7360320, 0, 208.22, 204.41, 0.61, 96.53, -35, 15, 17025
15000, 1, 7, 59.9631880, 10.7360400, 0, 208.31, 204.4, 0.29, 133.35, -13, 177, 16994
16000, 1, 7, 59.9631880, 10.7360380, 0, 208.4, 204.47, 0.23, 159.74, -485, 194, 16934
17000, 1, 7, 59.9631690, 10.7360560, 0, 207.95, 204.54, 0.34, 146.16, -926, 53, 16959
18000, 1, 7, 59.9631690, 10.7360600, 0, 208.04, 204.52, 0.09, 146.16, -411, 126, 17033
19000, 1, 7, 59.9631730, 10.7360500, 0, 208.13, 204.37, 0.2, 146.16, 683, 80, 17008
20000, 1, 7, 59.9631690, 10.7360500, 0, 208.22, 204.22, 0.14, 146.16, 653, 65, 16863
21000, 1, 7, 59.9631690, 10.7360520, 0, 208.31, 204.1, 0.06, 146.16, 494, 80, 16790
22000, 1, 7, 59.9631690, 10.7360500, 0, 208.22, 204.08, 0.09, 146.16, 645, 70, 16720
23000, 1, 7, 59.9631690, 10.7360520, 0, 208.13, 204.07, 0.18, 146.16, -1005, 73, 16698
24000, 1, 7, 59.9631690, 10.7360530, 0, 208.04, 204.06, 0.07, 146.16, -1199, 6, 16807
25000, 1, 7, 59.9631690, 10.7360530, 0, 208.04, 204.04, 0.11, 146.16, -1087, 615, 17342
26000, 1, 7, 59.9631610, 10.7360520, 0, 208.31, 203.97, 1.27, 188.41, -368, 222, 18857
27000, 1, 7, 59.9631500, 10.7360450, 0, 208.57, 203.77, 1.65, 189.55, -157, 394, 17761
28000, 1, 7, 59.9631310, 10.7360430, 0, 208.57, 203.41, 3.53, 188.09, 644, -75, 18749
29000, 1, 7, 59.9630930, 10.7360520, 0, 208.22, 202.81, 4.24, 182.35, -306, -401, 18713
30000, 1, 7, 59.9630580, 10.7360520, 0, 208.4, 202.23, 3.52, 184.03, -346, 327, 18665
31000, 1, 7, 59.9630280, 10.7360660, 0, 208.49, 201.74, 3.72, 173.87, -504, 297, 18263
