time, voltage, current, dt, dah, dwh, useah, usewh, chgah, chgwh, t1, t2
1338740136899, 53.30, 0.00, 276, 0.0000, 0.0000, 0.06, 3.14, 0.72, 38.08, 19, 20
1338740137251, 53.20, 0.10, 352, 0.0000, 0.0000, 0.06, 3.14, 0.72, 38.08, 19, 19
1338740137503, 53.20, 0.10, 252, 0.0070, 0.3724, 0.07, 3.52, 0.72, 38.08, 19, 19
1338740137792, 53.10, 0.10, 289, 0.0080, 0.4271, 0.07, 3.94, 0.72, 38.08, 19, 19
1338740138099, 53.20, 0.00, 307, 0.0085, 0.4528, 0.08, 4.40, 0.72, 38.08, 19, 19
1338740138401, 53.10, 0.00, 302, 0.0000, 0.0000, 0.08, 4.40, 0.72, 38.08, 19, 20
1338740138764, 53.10, 0.00, 363, 0.0000, 0.0000, 0.08, 4.40, 0.72, 38.08, 19, 20
1338740139000, 53.10, 0.10, 236, 0.0000, 0.0000, 0.08, 4.40, 0.72, 38.08, 19, 20
1338740139314, 53.10, 0.00, 314, 0.0087, 0.4632, 0.09, 4.86, 0.72, 38.08, 19, 20
1338740139623, 53.20, 0.00, 309, 0.0000, 0.0000, 0.09, 4.86, 0.72, 38.08, 19, 20
1338740139926, 53.20, 0.00, 303, 0.0000, 0.0000, 0.09, 4.86, 0.72, 38.08, 19, 20
1338740140214, 53.10, 0.10, 288, 0.0000, 0.0000, 0.09, 4.86, 0.72, 38.08, 19, 20
1338740140526, 53.20, 0.10, 312, 0.0087, 0.4602, 0.10, 5.32, 0.72, 38.08, 19, 20
1338740140819, 53.20, 0.00, 293, 0.0081, 0.4330, 0.11, 5.75, 0.72, 38.08, 19, 20
1338740141149, 53.20, 0.10, 330, 0.0000, 0.0000, 0.11, 5.75, 0.72, 38.08, 19, 20
1338740141458, 53.10, 0.10, 309, 0.0086, 0.4566, 0.12, 6.21, 0.72, 38.08, 19, 20
1338740141717, 53.20, 0.10, 259, 0.0072, 0.3820, 0.12, 6.59, 0.72, 38.08, 19, 20
1338740142017, 53.10, 0.00, 300, 0.0083, 0.4433, 0.13, 7.03, 0.72, 38.08, 19, 19
1338740142428, 53.20, 0.10, 411, 0.0000, 0.0000, 0.13, 7.03, 0.72, 38.08, 19, 19
1338740142636, 53.20, 0.00, 208, 0.0058, 0.3074, 0.14, 7.34, 0.72, 38.08, 19, 19
1338740142926, 53.20, 0.10, 290, 0.0000, 0.0000, 0.14, 7.34, 0.72, 38.08, 19, 19
1338740143249, 53.20, 0.10, 323, 0.0090, 0.4773, 0.15, 7.82, 0.72, 38.08, 19, 19
1338740143533, 53.20, 0.10, 284, 0.0079, 0.4197, 0.16, 8.24, 0.72, 38.08, 19, 19
1338740143809, 53.10, 0.10, 276, 0.0077, 0.4079, 0.16, 8.65, 0.72, 38.08, 19, 19
1338740144089, 53.20, 0.10, 280, 0.0078, 0.4130, 0.17, 9.06, 0.72, 38.08, 19, 19
1338740144436, 53.20, 0.10, 347, 0.0096, 0.5128, 0.18, 9.57, 0.72, 38.08, 19, 19
1338740144739, 53.20, 0.20, 303, 0.0084, 0.4478, 0.19, 10.02, 0.72, 38.08, 19, 19
1338740145052, 53.20, 0.20, 313, 0.0174, 0.9251, 0.21, 10.95, 0.72, 38.08, 19, 19
1338740145312, 53.00, 0.20, 260, 0.0144, 0.7684, 0.22, 11.71, 0.72, 38.08, 19, 19
1338740145662, 53.00, 0.20, 350, 0.0194, 1.0306, 0.24, 12.74, 0.72, 38.08, 19, 20
1338740145911, 53.10, 0.20, 249, 0.0138, 0.7332, 0.25, 13.48, 0.72, 38.08, 19, 20
1338740146222, 53.10, 0.20, 311, 0.0173, 0.9175, 0.27, 14.40, 0.72, 38.08, 19, 20
1338740146506, 53.20, 0.20, 284, 0.0158, 0.8378, 0.29, 15.23, 0.72, 38.08, 19, 20
1338740146833, 53.10, 0.20, 327, 0.0182, 0.9665, 0.30, 16.20, 0.72, 38.08, 19, 20
1338740147141, 53.30, 0.20, 308, 0.0171, 0.9086, 0.32, 17.11, 0.72, 38.08, 19, 20
1338740147426, 53.30, 0.20, 285, 0.0158, 0.8439, 0.34, 17.95, 0.72, 38.08, 19, 20
1338740147766, 53.30, 0.20, 340, 0.0189, 1.0068, 0.36, 18.96, 0.72, 38.08, 19, 20
1338740148023, 53.20, 0.20, 257, 0.0143, 0.7610, 0.37, 19.72, 0.72, 38.08, 19, 19
1338740148326, 53.10, 0.20, 303, 0.0168, 0.8955, 0.39, 20.62, 0.72, 38.08, 19, 19
1338740148612, 53.20, 0.20, 286, 0.0159, 0.8437, 0.40, 21.46, 0.72, 38.08, 19, 19
1338740148918, 53.20, 0.20, 306, 0.0170, 0.9044, 0.42, 22.36, 0.72, 38.08, 19, 19
1338740149236, 53.10, 0.20, 318, 0.0177, 0.9399, 0.44, 23.30, 0.72, 38.08, 19, 19
1338740149540, 53.00, 0.20, 304, 0.0169, 0.8968, 0.46, 24.20, 0.72, 38.08, 19, 19
