time, voltage, current, dt, dah, dwh, useah, usewh, chgah, chgwh, t1, t2
1339243536563, 53.30, -0.10, 0, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0
1339243537708, 53.20, -0.10, 1145, -0.0318, -1.6952, 0.00, 0.00, 0.03, 1.70, 15, 17
1339243538871, 53.10, -0.10, 1163, -0.0323, -1.7187, 0.00, 0.00, 0.06, 3.41, 14, 17
1339243539709, 53.30, -0.10, 838, -0.0233, -1.2360, 0.00, 0.00, 0.09, 4.65, 15, 17
1339243540000, 53.20, -0.10, 291, -0.0081, -0.4308, 0.00, 0.00, 0.10, 5.08, 15, 17
1339243540273, 53.20, -0.10, 273, -0.0076, -0.4034, 0.00, 0.00, 0.10, 5.48, 15, 17
1339243540580, 53.20, -0.10, 307, -0.0085, -0.4537, 0.00, 0.00, 0.11, 5.94, 15, 17
1339243540897, 53.20, -0.10, 317, -0.0088, -0.4685, 0.00, 0.00, 0.12, 6.41, 15, 18
1339243541202, 53.20, -0.10, 305, -0.0085, -0.4507, 0.00, 0.00, 0.13, 6.86, 15, 18
1339243543385, 53.20, -0.10, 2183, -0.0606, -3.2260, 0.00, 0.00, 0.19, 10.08, 15, 18
1339243543671, 53.30, -0.10, 286, -0.0079, -0.4226, 0.00, 0.00, 0.20, 10.51, 15, 18
1339243543952, 53.30, -0.10, 281, -0.0078, -0.4160, 0.00, 0.00, 0.21, 10.92, 15, 18
1339243544252, 53.30, -0.10, 300, -0.0083, -0.4442, 0.00, 0.00, 0.21, 11.37, 15, 18
1339243544564, 53.30, -0.10, 312, -0.0087, -0.4619, 0.00, 0.00, 0.22, 11.83, 15, 17
1339243544863, 53.20, -0.10, 299, -0.0083, -0.4427, 0.00, 0.00, 0.23, 12.27, 15, 17
1339243545180, 53.30, -0.10, 317, -0.0088, -0.4685, 0.00, 0.00, 0.24, 12.74, 15, 17
1339243545477, 53.30, -0.10, 297, -0.0082, -0.4397, 0.00, 0.00, 0.25, 13.18, 15, 17
1339243545775, 53.30, -0.10, 298, -0.0083, -0.4412, 0.00, 0.00, 0.26, 13.62, 15, 17
1339243546089, 53.40, -0.10, 314, -0.0087, -0.4649, 0.00, 0.00, 0.26, 14.08, 15, 17
1339243546373, 53.30, -0.10, 284, -0.0079, -0.4213, 0.00, 0.00, 0.27, 14.51, 15, 17
1339243546661, 53.30, -0.10, 288, -0.0080, -0.4264, 0.00, 0.00, 0.28, 14.93, 15, 17
1339243546976, 53.20, -0.10, 315, -0.0088, -0.4664, 0.00, 0.00, 0.29, 15.40, 14, 17
1339243547292, 53.30, -0.10, 316, -0.0088, -0.4670, 0.00, 0.00, 0.30, 15.87, 14, 17
1339243547555, 53.30, -0.10, 263, -0.0073, -0.3894, 0.00, 0.00, 0.31, 16.26, 14, 17
1339243547859, 53.20, -0.10, 304, -0.0084, -0.4501, 0.00, 0.00, 0.31, 16.71, 14, 17
1339243548180, 53.30, -0.10, 321, -0.0089, -0.4744, 0.00, 0.00, 0.32, 17.18, 15, 17
1339243548482, 53.30, -0.10, 302, -0.0084, -0.4471, 0.00, 0.00, 0.33, 17.63, 15, 17
1339243548761, 53.40, -0.10, 279, -0.0078, -0.4131, 0.00, 0.00, 0.34, 18.04, 15, 17
1339243549072, 53.40, -0.10, 311, -0.0086, -0.4613, 0.00, 0.00, 0.35, 18.50, 15, 17
1339243549379, 53.30, -0.10, 307, -0.0085, -0.4554, 0.00, 0.00, 0.36, 18.96, 15, 17
1339243549664, 53.30, -0.10, 285, -0.0079, -0.4220, 0.00, 0.00, 0.36, 19.38, 15, 17
1339243549963, 53.30, -0.10, 299, -0.0083, -0.4427, 0.00, 0.00, 0.37, 19.82, 15, 17
1339243550243, 53.30, -0.10, 280, -0.0078, -0.4146, 0.00, 0.00, 0.38, 20.24, 15, 17
1339243550572, 53.20, -0.10, 329, -0.0091, -0.4871, 0.00, 0.00, 0.39, 20.72, 15, 17
1339243550874, 53.20, -0.10, 302, -0.0084, -0.4463, 0.00, 0.00, 0.40, 21.17, 15, 17
1339243551190, 53.20, -0.20, 316, -0.0088, -0.4670, 0.00, 0.00, 0.41, 21.64, 15, 17
1339243551480, 53.20, -0.20, 290, -0.0161, -0.8571, 0.00, 0.00, 0.42, 22.49, 15, 17
1339243551776, 53.20, -0.10, 296, -0.0164, -0.8748, 0.00, 0.00, 0.44, 23.37, 15, 17
1339243552054, 53.20, -0.20, 278, -0.0077, -0.4108, 0.00, 0.00, 0.45, 23.78, 15, 17
1339243552436, 53.20, -0.20, 382, -0.0212, -1.1290, 0.00, 0.00, 0.47, 24.91, 15, 17
1339243552669, 53.20, 0.00, 233, -0.0129, -0.6886, 0.00, 0.00, 0.48, 25.60, 15, 17
1339243552990, 53.30, 0.10, 321, 0.0000, 0.0000, 0.00, 0.00, 0.48, 25.60, 15, 18
1339243553298, 53.40, 0.00, 308, 0.0086, 0.4560, 0.01, 0.46, 0.48, 25.60, 15, 18
1339243553582, 53.20, 0.10, 284, 0.0000, 0.0000, 0.01, 0.46, 0.48, 25.60, 15, 18
1339243553884, 53.20, 0.10, 302, 0.0084, 0.4463, 0.02, 0.90, 0.48, 25.60, 15, 18
1339243554201, 53.30, 0.00, 317, 0.0088, 0.4685, 0.03, 1.37, 0.48, 25.60, 14, 17
1339243554513, 53.20, 0.00, 312, 0.0000, 0.0000, 0.03, 1.37, 0.48, 25.60, 14, 17
1339243554781, 53.20, 0.00, 268, 0.0000, 0.0000, 0.03, 1.37, 0.48, 25.60, 14, 17
1339243555064, 53.40, 0.10, 283, 0.0000, 0.0000, 0.03, 1.37, 0.48, 25.60, 14, 17
1339243555379, 53.20, 0.10, 315, 0.0088, 0.4672, 0.03, 1.84, 0.48, 25.60, 15, 17
1339243555684, 53.30, 0.10, 305, 0.0085, 0.4507, 0.04, 2.29, 0.48, 25.60, 15, 17
1339243555984, 53.30, 0.00, 300, 0.0083, 0.4442, 0.05, 2.73, 0.48, 25.60, 15, 17
1339243556305, 53.30, 0.10, 321, 0.0000, 0.0000, 0.05, 2.73, 0.48, 25.60, 15, 17
1339243556595, 53.30, 0.00, 290, 0.0081, 0.4294, 0.06, 3.16, 0.48, 25.60, 15, 17
1339243556904, 53.20, 0.10, 309, 0.0000, 0.0000, 0.06, 3.16, 0.48, 25.60, 15, 17
1339243557295, 53.30, 0.10, 391, 0.0109, 0.5778, 0.07, 3.74, 0.48, 25.60, 15, 17
1339243557501, 53.30, 0.10, 206, 0.0057, 0.3050, 0.08, 4.05, 0.48, 25.60, 15, 17
1339243557803, 53.20, 0.10, 302, 0.0084, 0.4471, 0.08, 4.49, 0.48, 25.60, 15, 17
1339243558114, 53.10, 0.00, 311, 0.0086, 0.4596, 0.09, 4.95, 0.48, 25.60, 15, 17
1339243558412, 53.20, 0.10, 298, 0.0000, 0.0000, 0.09, 4.95, 0.48, 25.60, 15, 17
1339243558695, 53.20, 0.10, 283, 0.0079, 0.4182, 0.10, 5.37, 0.48, 25.60, 15, 17
1339243559042, 53.20, 0.00, 347, 0.0096, 0.5128, 0.11, 5.88, 0.48, 25.60, 15, 17
1339243559317, 53.30, -0.10, 275, 0.0000, 0.0000, 0.11, 5.88, 0.48, 25.60, 15, 17
1339243559621, 53.10, -0.10, 304, -0.0084, -0.4501, 0.11, 5.88, 0.49, 26.05, 15, 17
1339243559943, 53.10, -0.10, 322, -0.0089, -0.4750, 0.11, 5.88, 0.50, 26.52, 15, 17
1339243560247, 53.30, -0.10, 304, -0.0084, -0.4484, 0.11, 5.88, 0.51, 26.97, 15, 17
1339243560554, 53.30, -0.10, 307, -0.0085, -0.4545, 0.11, 5.88, 0.52, 27.42, 15, 17
1339243560839, 53.30, -0.10, 285, -0.0079, -0.4220, 0.11, 5.88, 0.52, 27.85, 15, 17
1339243561136, 53.30, -0.10, 297, -0.0082, -0.4397, 0.11, 5.88, 0.53, 28.29, 15, 17
1339243561448, 53.30, -0.10, 312, -0.0087, -0.4619, 0.11, 5.88, 0.54, 28.75, 15, 17
1339243561728, 53.20, -0.10, 280, -0.0078, -0.4146, 0.11, 5.88, 0.55, 29.16, 15, 17
1339243562030, 53.00, 0.00, 302, -0.0084, -0.4463, 0.11, 5.88, 0.56, 29.61, 15, 17
1339243562321, 53.10, -0.10, 291, 0.0000, 0.0000, 0.11, 5.88, 0.56, 29.61, 15, 17
1339243562652, 53.20, -0.10, 331, -0.0092, -0.4882, 0.11, 5.88, 0.57, 30.10, 15, 17
1339243562932, 53.10, -0.10, 280, -0.0078, -0.4138, 0.11, 5.88, 0.57, 30.51, 15, 17
1339243563246, 53.10, -0.10, 314, -0.0087, -0.4632, 0.11, 5.88, 0.58, 30.97, 15, 17
1339243563552, 53.10, -0.10, 306, -0.0085, -0.4514, 0.11, 5.88, 0.59, 31.43, 15, 17
1339243563892, 53.20, 0.00, 340, -0.0094, -0.5015, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243564153, 53.10, 0.00, 261, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243564461, 53.10, 0.00, 308, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243564810, 53.10, 0.00, 349, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243565063, 53.00, 0.00, 253, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243565364, 53.10, 0.00, 301, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243565643, 53.10, 0.00, 279, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243565973, 53.30, 0.00, 330, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243566263, 53.20, 0.00, 290, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243566581, 53.10, 0.00, 318, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243566883, 53.10, 0.10, 302, 0.0000, 0.0000, 0.11, 5.88, 0.60, 31.93, 15, 17
1339243567162, 53.20, 0.00, 279, 0.0078, 0.4115, 0.12, 6.29, 0.60, 31.93, 15, 17
1339243567490, 53.10, 0.00, 328, 0.0000, 0.0000, 0.12, 6.29, 0.60, 31.93, 15, 17
1339243567770, 53.10, 0.10, 280, 0.0000, 0.0000, 0.12, 6.29, 0.60, 31.93, 15, 17
1339243568070, 53.20, 0.10, 300, 0.0083, 0.4425, 0.13, 6.74, 0.60, 31.93, 15, 17
1339243568350, 53.20, 0.10, 280, 0.0078, 0.4138, 0.13, 7.15, 0.60, 31.93, 15, 17
1339243568664, 53.30, 0.10, 314, 0.0087, 0.4640, 0.14, 7.61, 0.60, 31.93, 15, 17
1339243569002, 53.30, 0.10, 338, 0.0094, 0.5004, 0.15, 8.12, 0.60, 31.93, 15, 17
1339243569286, 53.30, 0.10, 284, 0.0079, 0.4205, 0.16, 8.54, 0.60, 31.93, 15, 17
1339243569573, 53.30, 0.10, 287, 0.0080, 0.4249, 0.17, 8.96, 0.60, 31.93, 15, 17
1339243569864, 53.20, 0.10, 291, 0.0081, 0.4308, 0.18, 9.39, 0.60, 31.93, 15, 17
1339243570197, 53.20, 0.10, 333, 0.0093, 0.4921, 0.19, 9.88, 0.60, 31.93, 15, 17
1339243570474, 53.20, 0.10, 277, 0.0077, 0.4093, 0.19, 10.29, 0.60, 31.93, 15, 17
1339243570790, 53.20, 0.10, 316, 0.0088, 0.4670, 0.20, 10.76, 0.60, 31.93, 15, 17
1339243571074, 53.20, 0.10, 284, 0.0079, 0.4197, 0.21, 11.18, 0.60, 31.93, 15, 17
1339243571382, 53.20, 0.10, 308, 0.0086, 0.4552, 0.22, 11.63, 0.60, 31.93, 15, 17
1339243571694, 53.20, 0.20, 312, 0.0087, 0.4611, 0.23, 12.10, 0.60, 31.93, 15, 17
1339243571970, 53.20, 0.20, 276, 0.0153, 0.8157, 0.24, 12.91, 0.60, 31.93, 15, 17
1339243572298, 53.30, 0.20, 328, 0.0182, 0.9694, 0.26, 13.88, 0.60, 31.93, 15, 17
1339243572582, 53.30, 0.20, 284, 0.0158, 0.8410, 0.28, 14.72, 0.60, 31.93, 15, 17
1339243572869, 53.20, 0.20, 287, 0.0159, 0.8498, 0.29, 15.57, 0.60, 31.93, 15, 17
1339243573171, 53.20, 0.20, 302, 0.0168, 0.8926, 0.31, 16.46, 0.60, 31.93, 15, 17
1339243573497, 53.20, 0.20, 326, 0.0181, 0.9635, 0.33, 17.43, 0.60, 31.93, 15, 17
1339243573790, 53.40, 0.10, 293, 0.0163, 0.8660, 0.34, 18.29, 0.60, 31.93, 15, 17
1339243574068, 53.30, 0.20, 278, 0.0077, 0.4124, 0.35, 18.71, 0.60, 31.93, 15, 17
1339243574429, 53.30, 0.20, 361, 0.0201, 1.0690, 0.37, 19.77, 0.60, 31.93, 15, 17
1339243574691, 53.30, 0.20, 262, 0.0146, 0.7758, 0.39, 20.55, 0.60, 31.93, 14, 17
1339243574969, 53.30, 0.20, 278, 0.0154, 0.8232, 0.40, 21.37, 0.60, 31.93, 14, 17
1339243575278, 53.20, 0.20, 309, 0.0172, 0.9150, 0.42, 22.29, 0.60, 31.93, 14, 17
1339243575565, 53.30, 0.20, 287, 0.0159, 0.8482, 0.43, 23.14, 0.60, 31.93, 14, 17
1339243575882, 53.30, 0.20, 317, 0.0176, 0.9387, 0.45, 24.08, 0.60, 31.93, 15, 18
1339243576192, 53.20, 0.20, 310, 0.0172, 0.9179, 0.47, 24.99, 0.60, 31.93, 15, 18
1339243576469, 53.30, 0.20, 277, 0.0154, 0.8187, 0.48, 25.81, 0.60, 31.93, 15, 18
1339243576770, 53.20, 0.20, 301, 0.0167, 0.8913, 0.50, 26.70, 0.60, 31.93, 15, 18
1339243577079, 53.20, 0.20, 309, 0.0172, 0.9133, 0.52, 27.62, 0.60, 31.93, 15, 17
1339243577410, 53.20, 0.20, 331, 0.0184, 0.9783, 0.54, 28.60, 0.60, 31.93, 15, 17
1339243577669, 53.10, 0.20, 259, 0.0144, 0.7655, 0.55, 29.36, 0.60, 31.93, 15, 17
1339243578067, 53.20, 0.20, 398, 0.0221, 1.1741, 0.57, 30.53, 0.60, 31.93, 15, 17
1339243578305, 53.20, 0.20, 238, 0.0132, 0.7034, 0.59, 31.24, 0.60, 31.93, 15, 17
1339243578582, 53.10, 0.20, 277, 0.0154, 0.8187, 0.60, 32.06, 0.60, 31.93, 15, 17
1339243578861, 53.20, 0.20, 279, 0.0155, 0.8231, 0.62, 32.88, 0.60, 31.93, 15, 17
1339243579180, 53.30, 0.20, 319, 0.0177, 0.9428, 0.64, 33.82, 0.60, 31.93, 15, 17
1339243579477, 53.30, 0.20, 297, 0.0165, 0.8794, 0.65, 34.70, 0.60, 31.93, 15, 17
1339243579779, 53.30, 0.20, 302, 0.0168, 0.8943, 0.67, 35.60, 0.60, 31.93, 15, 17
1339243580093, 53.20, 0.20, 314, 0.0174, 0.9298, 0.69, 36.53, 0.60, 31.93, 15, 17
1339243580369, 53.20, 0.20, 276, 0.0153, 0.8157, 0.70, 37.34, 0.60, 31.93, 15, 17
1339243580684, 53.30, 0.20, 315, 0.0175, 0.9310, 0.72, 38.27, 0.60, 31.93, 15, 18
1339243580983, 53.10, 0.20, 299, 0.0166, 0.8854, 0.74, 39.16, 0.60, 31.93, 15, 18
1339243581291, 53.20, 0.20, 308, 0.0171, 0.9086, 0.75, 40.07, 0.60, 31.93, 15, 18
1339243581600, 53.20, 0.20, 309, 0.0172, 0.9133, 0.77, 40.98, 0.60, 31.93, 15, 18
1339243581882, 53.30, 0.20, 282, 0.0157, 0.8335, 0.79, 41.81, 0.60, 31.93, 15, 17
1339243582183, 53.20, 0.20, 301, 0.0167, 0.8913, 0.80, 42.71, 0.60, 31.93, 15, 17
1339243582461, 53.30, 0.20, 278, 0.0154, 0.8216, 0.82, 43.53, 0.60, 31.93, 15, 17
1339243582779, 53.40, 0.20, 318, 0.0177, 0.9416, 0.84, 44.47, 0.60, 31.93, 15, 17
1339243583097, 53.30, 0.20, 318, 0.0177, 0.9434, 0.85, 45.41, 0.60, 31.93, 15, 17
1339243583379, 53.20, 0.20, 282, 0.0157, 0.8350, 0.87, 46.25, 0.60, 31.93, 15, 17
1339243583680, 53.20, 0.20, 301, 0.0167, 0.8896, 0.89, 47.14, 0.60, 31.93, 15, 17
1339243583994, 53.20, 0.20, 314, 0.0174, 0.9280, 0.90, 48.06, 0.60, 31.93, 15, 17
1339243584289, 53.30, 0.20, 295, 0.0164, 0.8719, 0.92, 48.94, 0.60, 31.93, 15, 17
1339243584568, 53.30, 0.20, 279, 0.0155, 0.8261, 0.93, 49.76, 0.60, 31.93, 15, 17
