time, voltage, current, dt, dah, dwh, useah, usewh, chgah, chgwh, t1, t2
1339324690145, 57.60, -0.20, 0, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0
1339324691277, 57.50, -0.20, 1132, -0.0629, -3.6224, 0.00, 0.00, 0.06, 3.62, 16, 17
1339324692422, 57.50, -0.20, 1145, -0.0636, -3.6576, 0.00, 0.00, 0.13, 7.28, 16, 16
1339324693168, 57.50, -0.20, 746, -0.0414, -2.3831, 0.00, 0.00, 0.17, 9.66, 16, 16
1339324694573, 57.60, -0.20, 1405, -0.0781, -4.4882, 0.00, 0.00, 0.25, 14.15, 16, 16
1339324695202, 57.50, -0.20, 629, -0.0349, -2.0128, 0.00, 0.00, 0.28, 16.16, 16, 16
1339324696358, 57.50, -0.20, 1156, -0.0642, -3.6928, 0.00, 0.00, 0.35, 19.86, 16, 17
1339324697492, 57.50, -0.20, 1134, -0.0630, -3.6225, 0.00, 0.00, 0.41, 23.48, 16, 17
1339324698218, 57.60, 0.00, 726, -0.0403, -2.3192, 0.00, 0.00, 0.45, 25.80, 16, 16
1339324699388, 57.50, 0.00, 1170, 0.0000, 0.0000, 0.00, 0.00, 0.45, 25.80, 16, 17
1339324700273, 57.50, 0.00, 885, 0.0000, 0.0000, 0.00, 0.00, 0.45, 25.80, 16, 17
1339324701169, 57.40, 0.10, 896, 0.0000, 0.0000, 0.00, 0.00, 0.45, 25.80, 16, 16
1339324702394, 57.50, 0.00, 1225, 0.0340, 1.9532, 0.03, 1.95, 0.45, 25.80, 16, 17
1339324703253, 57.50, 0.00, 859, 0.0000, 0.0000, 0.03, 1.95, 0.45, 25.80, 16, 17
1339324704188, 57.40, 0.00, 935, 0.0000, 0.0000, 0.03, 1.95, 0.45, 25.80, 16, 17
1339324705383, 57.40, 0.10, 1195, 0.0000, 0.0000, 0.03, 1.95, 0.45, 25.80, 16, 17
1339324706282, 57.60, 0.10, 899, 0.0250, 1.4334, 0.06, 3.39, 0.45, 25.80, 16, 17
1339324707158, 57.60, 0.10, 876, 0.0243, 1.4016, 0.08, 4.79, 0.45, 25.80, 16, 17
1339324708364, 57.30, 0.10, 1206, 0.0335, 1.9296, 0.12, 6.72, 0.45, 25.80, 16, 17
1339324709268, 57.40, 0.10, 904, 0.0251, 1.4389, 0.14, 8.16, 0.45, 25.80, 16, 17
1339324710163, 57.40, 0.10, 895, 0.0249, 1.4270, 0.17, 9.58, 0.45, 25.80, 16, 17
1339324711363, 57.40, 0.10, 1200, 0.0333, 1.9133, 0.20, 11.50, 0.45, 25.80, 16, 17
1339324712290, 57.30, 0.10, 927, 0.0258, 1.4780, 0.23, 12.98, 0.45, 25.80, 16, 17
1339324713236, 57.30, 0.10, 946, 0.0263, 1.5057, 0.25, 14.48, 0.45, 25.80, 16, 17
1339324714379, 57.30, 0.10, 1143, 0.0318, 1.8193, 0.28, 16.30, 0.45, 25.80, 16, 17
