time, voltage, current, dt, dah, dwh, useah, usewh, chgah, chgwh, t1, t2
1339243536563, 53.30, -0.10, 0, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0
1339243537708, 53.20, -0.10, 1145, -0.0318, -1.6952, 0.00, 0.00, 0.03, 1.70, 15, 17
1339243538871, 53.10, -0.10, 1163, -0.0323, -1.7187, 0.00, 0.00, 0.06, 3.41, 14, 17
1339243539709, 53.30, -0.10, 838, -0.0233, -1.2360, 0.00, 0.00, 0.09, 4.65, 15, 17
1339243540580, 53.20, -0.10, 871, -0.0242, -1.2896, 0.00, 0.00, 0.11, 5.94, 15, 17
1339243543385, 53.20, -0.10, 2805, -0.0779, -4.1452, 0.00, 0.00, 0.19, 10.08, 15, 18
1339243543671, 53.30, -0.10, 286, -0.0079, -0.4226, 0.00, 0.00, 0.20, 10.51, 15, 18
1339243544564, 53.30, -0.10, 893, -0.0248, -1.3221, 0.00, 0.00, 0.22, 11.83, 15, 17
1339243545775, 53.30, -0.10, 1211, -0.0336, -1.7930, 0.00, 0.00, 0.26, 13.62, 15, 17
1339243546661, 53.30, -0.10, 886, -0.0246, -1.3118, 0.00, 0.00, 0.28, 14.93, 15, 17
1339243547859, 53.20, -0.10, 1198, -0.0333, -1.7737, 0.00, 0.00, 0.31, 16.71, 14, 17
1339243548761, 53.40, -0.10, 902, -0.0251, -1.3330, 0.00, 0.00, 0.34, 18.04, 15, 17
1339243549664, 53.30, -0.10, 903, -0.0251, -1.3394, 0.00, 0.00, 0.36, 19.38, 15, 17
1339243550572, 53.20, -0.10, 908, -0.0252, -1.3443, 0.00, 0.00, 0.39, 20.72, 15, 17
1339243551776, 53.20, -0.10, 1204, -0.0334, -1.7792, 0.00, 0.00, 0.42, 22.50, 15, 17
1339243552669, 53.20, 0.00, 893, -0.0248, -1.3197, 0.00, 0.00, 0.45, 23.82, 15, 17
1339243553582, 53.20, 0.10, 913, 0.0000, 0.0000, 0.00, 0.00, 0.45, 23.82, 15, 18
1339243554781, 53.20, 0.00, 1199, 0.0333, 1.7719, 0.03, 1.77, 0.45, 23.82, 14, 17
1339243555684, 53.30, 0.10, 903, 0.0000, 0.0000, 0.03, 1.77, 0.45, 23.82, 15, 17
1339243556595, 53.30, 0.00, 911, 0.0253, 1.3488, 0.06, 3.12, 0.45, 23.82, 15, 17
1339243557803, 53.20, 0.10, 1208, 0.0000, 0.0000, 0.06, 3.12, 0.45, 23.82, 15, 17
1339243558695, 53.20, 0.10, 892, 0.0248, 1.3182, 0.08, 4.44, 0.45, 23.82, 15, 17
1339243559621, 53.10, -0.10, 926, 0.0257, 1.3684, 0.11, 5.81, 0.45, 23.82, 15, 17
1339243560839, 53.30, -0.10, 1218, -0.0338, -1.7966, 0.11, 5.81, 0.48, 25.62, 15, 17
1339243561728, 53.20, -0.10, 889, -0.0247, -1.3162, 0.11, 5.81, 0.51, 26.94, 15, 17
1339243562652, 53.20, -0.10, 924, -0.0257, -1.3655, 0.11, 5.81, 0.53, 28.30, 15, 17
1339243563892, 53.20, 0.00, 1240, -0.0344, -1.8324, 0.11, 5.81, 0.57, 30.13, 15, 17
1339243564810, 53.10, 0.00, 918, 0.0000, 0.0000, 0.11, 5.81, 0.57, 30.13, 15, 17
1339243565643, 53.10, 0.00, 833, 0.0000, 0.0000, 0.11, 5.81, 0.57, 30.13, 15, 17
1339243566581, 53.10, 0.00, 938, 0.0000, 0.0000, 0.11, 5.81, 0.57, 30.13, 15, 17
1339243567770, 53.10, 0.10, 1189, 0.0000, 0.0000, 0.11, 5.81, 0.57, 30.13, 15, 17
1339243568664, 53.30, 0.10, 894, 0.0248, 1.3186, 0.13, 7.13, 0.57, 30.13, 15, 17
1339243569573, 53.30, 0.10, 909, 0.0252, 1.3458, 0.16, 8.47, 0.57, 30.13, 15, 17
1339243570790, 53.20, 0.10, 1217, 0.0338, 1.8018, 0.19, 10.27, 0.57, 30.13, 15, 17
1339243571694, 53.20, 0.20, 904, 0.0251, 1.3359, 0.22, 11.61, 0.57, 30.13, 15, 17
1339243572582, 53.30, 0.20, 888, 0.0493, 2.6245, 0.27, 14.23, 0.57, 30.13, 15, 17
1339243573790, 53.40, 0.10, 1208, 0.0671, 3.5770, 0.33, 17.81, 0.57, 30.13, 15, 17
1339243574691, 53.30, 0.20, 901, 0.0250, 1.3365, 0.36, 19.15, 0.57, 30.13, 14, 17
1339243575565, 53.30, 0.20, 874, 0.0486, 2.5880, 0.41, 21.74, 0.57, 30.13, 14, 17
1339243576770, 53.20, 0.20, 1205, 0.0669, 3.5681, 0.48, 25.30, 0.57, 30.13, 15, 18
1339243577669, 53.10, 0.20, 899, 0.0499, 2.6570, 0.53, 27.96, 0.57, 30.13, 15, 17
1339243578582, 53.10, 0.20, 913, 0.0507, 2.6934, 0.58, 30.65, 0.57, 30.13, 15, 17
1339243579779, 53.30, 0.20, 1197, 0.0665, 3.5312, 0.64, 34.19, 0.57, 30.13, 15, 17
1339243580684, 53.30, 0.20, 905, 0.0503, 2.6798, 0.69, 36.87, 0.57, 30.13, 15, 18
1339243581600, 53.20, 0.20, 916, 0.0509, 2.7124, 0.74, 39.58, 0.57, 30.13, 15, 18
1339243582779, 53.40, 0.20, 1179, 0.0655, 3.4846, 0.81, 43.06, 0.57, 30.13, 15, 17
1339243583680, 53.20, 0.20, 901, 0.0501, 2.6730, 0.86, 45.73, 0.57, 30.13, 15, 17
1339243584568, 53.30, 0.20, 888, 0.0493, 2.6245, 0.91, 48.36, 0.57, 30.13, 15, 17
1339243585768, 53.20, 0.20, 1200, 0.0667, 3.5533, 0.97, 51.91, 0.57, 30.13, 15, 17
1339243586697, 53.20, 0.20, 929, 0.0516, 2.7457, 1.03, 54.66, 0.57, 30.13, 15, 17
1339243587569, 53.20, 0.20, 872, 0.0484, 2.5772, 1.08, 57.24, 0.57, 30.13, 15, 17
1339243588837, 53.20, 0.20, 1268, 0.0704, 3.7476, 1.15, 60.98, 0.57, 30.13, 15, 18
1339243589690, 53.20, 0.20, 853, 0.0474, 2.5211, 1.19, 63.50, 0.57, 30.13, 15, 17
1339243590581, 53.20, 0.20, 891, 0.0495, 2.6334, 1.24, 66.14, 0.57, 30.13, 15, 17
1339243591766, 53.20, 0.20, 1185, 0.0658, 3.5023, 1.31, 69.64, 0.57, 30.13, 15, 18
1339243592696, 53.20, 0.20, 930, 0.0517, 2.7487, 1.36, 72.39, 0.57, 30.13, 15, 18
1339243593572, 53.30, 0.20, 876, 0.0487, 2.5891, 1.41, 74.98, 0.57, 30.13, 15, 18
1339243594763, 53.30, 0.20, 1191, 0.0662, 3.5267, 1.47, 78.50, 0.57, 30.13, 15, 18
1339243595663, 53.30, 0.20, 900, 0.0500, 2.6650, 1.52, 81.17, 0.57, 30.13, 15, 17
1339243596597, 53.20, 0.20, 934, 0.0519, 2.7657, 1.58, 83.94, 0.57, 30.13, 15, 17
1339243597804, 53.20, 0.20, 1207, 0.0671, 3.5674, 1.64, 87.50, 0.57, 30.13, 15, 17
1339243598680, 53.30, 0.20, 876, 0.0487, 2.5891, 1.69, 90.09, 0.57, 30.13, 15, 18
1339243599568, 53.20, 0.20, 888, 0.0493, 2.6295, 1.74, 92.72, 0.57, 30.13, 15, 18
1339243600783, 53.20, 0.20, 1215, 0.0675, 3.5910, 1.81, 96.31, 0.57, 30.13, 15, 17
1339243601677, 53.20, 0.20, 894, 0.0497, 2.6423, 1.86, 98.95, 0.57, 30.13, 15, 18
1339243602587, 53.30, 0.20, 910, 0.0506, 2.6896, 1.91, 101.64, 0.57, 30.13, 15, 18
1339243603770, 53.10, 0.20, 1183, 0.0657, 3.5030, 1.98, 105.15, 0.57, 30.13, 14, 17
1339243604670, 53.40, 0.20, 900, 0.0500, 2.6550, 2.03, 107.80, 0.57, 30.13, 15, 18
1339243605590, 53.20, 0.20, 920, 0.0511, 2.7293, 2.08, 110.53, 0.57, 30.13, 15, 18
1339243606799, 53.30, 0.20, 1209, 0.0672, 3.5733, 2.14, 114.10, 0.57, 30.13, 15, 17
1339243607703, 53.10, 0.20, 904, 0.0502, 2.6768, 2.19, 116.78, 0.57, 30.13, 15, 18
1339243608582, 53.40, 0.20, 879, 0.0488, 2.5931, 2.24, 119.37, 0.57, 30.13, 15, 17
1339243609766, 53.30, 0.20, 1184, 0.0658, 3.5125, 2.31, 122.89, 0.57, 30.13, 15, 18
1339243610716, 53.30, 0.20, 950, 0.0528, 2.8131, 2.36, 125.70, 0.57, 30.13, 15, 18
1339243611566, 53.40, 0.20, 850, 0.0472, 2.5169, 2.41, 128.22, 0.57, 30.13, 15, 18
1339243612794, 53.30, 0.20, 1228, 0.0682, 3.6431, 2.48, 131.86, 0.57, 30.13, 15, 17
1339243613678, 53.20, 0.20, 884, 0.0491, 2.6176, 2.53, 134.48, 0.57, 30.13, 15, 18
1339243614606, 53.20, 0.20, 928, 0.0516, 2.7428, 2.58, 137.22, 0.57, 30.13, 15, 18
1339243615800, 53.30, 0.20, 1194, 0.0663, 3.5289, 2.64, 140.75, 0.57, 30.13, 15, 18
1339243616681, 53.30, 0.20, 881, 0.0489, 2.6087, 2.69, 143.36, 0.57, 30.13, 15, 18
1339243617582, 53.30, 0.20, 901, 0.0501, 2.6680, 2.74, 146.03, 0.57, 30.13, 15, 18
1339243618804, 53.30, 0.20, 1222, 0.0679, 3.6185, 2.81, 149.64, 0.57, 30.13, 15, 17
1339243619713, 53.20, 0.20, 909, 0.0505, 2.6916, 2.86, 152.34, 0.57, 30.13, 15, 18
1339243620576, 53.30, 0.20, 863, 0.0479, 2.5506, 2.91, 154.89, 0.57, 30.13, 15, 18
1339243621792, 53.30, 0.20, 1216, 0.0676, 3.6007, 2.98, 158.49, 0.57, 30.13, 15, 17
1339243622698, 53.20, 0.20, 906, 0.0503, 2.6828, 3.03, 161.17, 0.57, 30.13, 15, 18
1339243623592, 53.20, 0.20, 894, 0.0497, 2.6423, 3.08, 163.81, 0.57, 30.13, 15, 18
1339243624810, 53.30, 0.20, 1218, 0.0677, 3.5999, 3.14, 167.41, 0.57, 30.13, 15, 18
1339243625690, 53.30, 0.20, 880, 0.0489, 2.6058, 3.19, 170.02, 0.57, 30.13, 15, 18
1339243626587, 53.10, 0.20, 897, 0.0498, 2.6561, 3.24, 172.67, 0.57, 30.13, 15, 18
1339243627811, 53.20, 0.20, 1224, 0.0680, 3.6108, 3.31, 176.29, 0.57, 30.13, 15, 18
1339243628682, 53.20, 0.20, 871, 0.0484, 2.5743, 3.36, 178.86, 0.57, 30.13, 15, 17
1339243629580, 53.20, 0.20, 898, 0.0499, 2.6541, 3.41, 181.51, 0.57, 30.13, 15, 17
1339243630767, 53.20, 0.20, 1187, 0.0659, 3.5082, 3.47, 185.02, 0.57, 30.13, 15, 18
1339243631686, 53.30, 0.20, 919, 0.0511, 2.7162, 3.53, 187.74, 0.57, 30.13, 15, 18
1339243632612, 53.20, 0.20, 926, 0.0514, 2.7420, 3.58, 190.48, 0.57, 30.13, 15, 18
1339243633791, 53.30, 0.20, 1179, 0.0655, 3.4846, 3.64, 193.96, 0.57, 30.13, 15, 18
1339243634713, 53.20, 0.20, 922, 0.0512, 2.7301, 3.69, 196.69, 0.57, 30.13, 15, 18
1339243635583, 53.40, 0.20, 870, 0.0483, 2.5713, 3.74, 199.27, 0.57, 30.13, 15, 18
1339243636810, 53.20, 0.20, 1227, 0.0682, 3.6401, 3.81, 202.91, 0.57, 30.13, 15, 18
1339243637693, 53.30, 0.20, 883, 0.0491, 2.6098, 3.86, 205.52, 0.57, 30.13, 15, 18
1339243638614, 53.20, 0.20, 921, 0.0512, 2.7272, 3.91, 208.24, 0.57, 30.13, 15, 18
1339243639799, 53.30, 0.20, 1185, 0.0658, 3.5023, 3.98, 211.75, 0.57, 30.13, 15, 18
1339243640715, 53.20, 0.20, 916, 0.0509, 2.7124, 4.03, 214.46, 0.57, 30.13, 15, 18
1339243641616, 53.20, 0.20, 901, 0.0501, 2.6630, 4.08, 217.12, 0.57, 30.13, 15, 18
1339243642816, 53.30, 0.20, 1200, 0.0667, 3.5467, 4.14, 220.67, 0.57, 30.13, 15, 18
1339243643689, 53.40, 0.20, 873, 0.0485, 2.5851, 4.19, 223.25, 0.57, 30.13, 15, 18
1339243644604, 53.20, 0.20, 915, 0.0508, 2.7145, 4.24, 225.97, 0.57, 30.13, 15, 18
1339243645794, 53.10, 0.20, 1190, 0.0661, 3.5171, 4.31, 229.48, 0.57, 30.13, 15, 18
1339243646691, 53.30, 0.20, 897, 0.0498, 2.6462, 4.36, 232.13, 0.57, 30.13, 15, 18
1339243647596, 53.30, 0.20, 905, 0.0503, 2.6798, 4.41, 234.81, 0.57, 30.13, 15, 18
1339243648814, 53.20, 0.20, 1218, 0.0677, 3.6066, 4.48, 238.42, 0.57, 30.13, 15, 18
1339243649695, 53.20, 0.20, 881, 0.0489, 2.6038, 4.53, 241.02, 0.57, 30.13, 15, 18
1339243650607, 53.20, 0.20, 912, 0.0507, 2.6955, 4.58, 243.72, 0.57, 30.13, 15, 18
1339243651819, 53.20, 0.20, 1212, 0.0673, 3.5821, 4.64, 247.30, 0.57, 30.13, 15, 18
1339243652727, 53.20, 0.20, 908, 0.0504, 2.6836, 4.69, 249.98, 0.57, 30.13, 15, 18
1339243653596, 53.30, 0.20, 869, 0.0483, 2.5684, 4.74, 252.55, 0.57, 30.13, 15, 18
1339243654801, 53.30, 0.20, 1205, 0.0669, 3.5681, 4.81, 256.12, 0.57, 30.13, 15, 18
1339243655692, 53.30, 0.20, 891, 0.0495, 2.6384, 4.86, 258.76, 0.57, 30.13, 15, 18
1339243656607, 53.20, 0.20, 915, 0.0508, 2.7094, 4.91, 261.47, 0.57, 30.13, 15, 18
1339243657821, 53.30, 0.20, 1214, 0.0674, 3.5880, 4.98, 265.05, 0.57, 30.13, 15, 18
1339243658731, 53.20, 0.20, 910, 0.0506, 2.6946, 5.03, 267.75, 0.57, 30.13, 15, 19
1339243659608, 53.20, 0.20, 877, 0.0487, 2.5920, 5.08, 270.34, 0.57, 30.13, 15, 19
1339243660788, 53.20, 0.20, 1180, 0.0656, 3.4876, 5.14, 273.83, 0.57, 30.13, 15, 18
1339243661708, 53.30, 0.20, 920, 0.0511, 2.7191, 5.19, 276.55, 0.57, 30.13, 15, 18
1339243662622, 53.20, 0.20, 914, 0.0508, 2.7065, 5.24, 279.25, 0.57, 30.13, 15, 18
1339243663834, 53.20, 0.20, 1212, 0.0673, 3.5821, 5.31, 282.84, 0.57, 30.13, 15, 18
1339243664714, 53.20, 0.20, 880, 0.0489, 2.6009, 5.36, 285.44, 0.57, 30.13, 15, 18
1339243665633, 53.20, 0.20, 919, 0.0511, 2.7162, 5.41, 288.15, 0.57, 30.13, 15, 18
1339243666808, 53.30, 0.20, 1175, 0.0653, 3.4728, 5.48, 291.63, 0.57, 30.13, 15, 19
1339243667723, 53.30, 0.20, 915, 0.0508, 2.7094, 5.53, 294.34, 0.57, 30.13, 15, 18
1339243668637, 53.10, 1.70, 914, 0.0508, 2.7065, 5.58, 297.04, 0.57, 30.13, 15, 18
1339243669814, 53.20, 0.20, 1177, 0.5558, 29.5133, 6.13, 326.55, 0.57, 30.13, 15, 18
1339243670724, 53.20, 0.20, 910, 0.0506, 2.6896, 6.19, 329.24, 0.57, 30.13, 15, 19
1339243671611, 53.20, 0.20, 887, 0.0493, 2.6216, 6.23, 331.87, 0.57, 30.13, 15, 19
1339243672819, 53.20, 0.20, 1208, 0.0671, 3.5703, 6.30, 335.44, 0.57, 30.13, 15, 19
1339243673749, 53.40, 0.20, 930, 0.0517, 2.7487, 6.35, 338.19, 0.57, 30.13, 15, 18
1339243674630, 53.30, 0.20, 881, 0.0489, 2.6136, 6.40, 340.80, 0.57, 30.13, 15, 18
1339243675829, 53.40, 0.20, 1199, 0.0666, 3.5504, 6.47, 344.35, 0.57, 30.13, 15, 18
1339243676713, 53.30, 0.20, 884, 0.0491, 2.6225, 6.52, 346.97, 0.57, 30.13, 15, 18
1339243677614, 53.20, 0.20, 901, 0.0501, 2.6680, 6.57, 349.64, 0.57, 30.13, 15, 18
1339243678844, 53.30, 0.20, 1230, 0.0683, 3.6353, 6.64, 353.27, 0.57, 30.13, 15, 18
1339243679722, 53.20, 0.20, 878, 0.0488, 2.5999, 6.69, 355.87, 0.57, 30.13, 15, 18
1339243680613, 53.30, 0.20, 891, 0.0495, 2.6334, 6.73, 358.51, 0.57, 30.13, 15, 18
1339243681838, 53.40, 0.20, 1225, 0.0681, 3.6274, 6.80, 362.14, 0.57, 30.13, 15, 18
1339243682738, 53.30, 0.20, 900, 0.0500, 2.6700, 6.85, 364.81, 0.57, 30.13, 15, 18
