time, voltage, current, dt, dah, dwh, useah, usewh, chgah, chgwh, t1, t2
1339326695407, 53.40, -0.10, 0, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0
1339326696565, 53.40, -0.10, 1158, -0.0322, -1.7177, 0.00, 0.00, 0.03, 1.72, 22, 21
1339326697839, 53.30, -0.10, 1274, -0.0354, -1.8898, 0.00, 0.00, 0.07, 3.61, 22, 21
1339326698119, 53.30, -0.10, 280, -0.0078, -0.4146, 0.00, 0.00, 0.08, 4.02, 22, 21
1339326698398, 53.20, -0.10, 279, -0.0078, -0.4131, 0.00, 0.00, 0.08, 4.44, 22, 21
1339326698709, 53.30, -0.10, 311, -0.0086, -0.4596, 0.00, 0.00, 0.09, 4.89, 22, 21
1339326699024, 53.20, -0.10, 315, -0.0088, -0.4664, 0.00, 0.00, 0.10, 5.36, 22, 21
1339326699329, 53.30, -0.10, 305, -0.0085, -0.4507, 0.00, 0.00, 0.11, 5.81, 22, 21
1339326699633, 53.20, -0.10, 304, -0.0084, -0.4501, 0.00, 0.00, 0.12, 6.26, 22, 21
1339326699924, 53.10, -0.10, 291, -0.0081, -0.4300, 0.00, 0.00, 0.13, 6.69, 22, 21
1339326700219, 53.30, -0.10, 295, -0.0082, -0.4351, 0.00, 0.00, 0.13, 7.13, 22, 21
1339326700677, 53.20, -0.10, 458, -0.0127, -0.6781, 0.00, 0.00, 0.15, 7.81, 22, 21
1339326700822, 53.30, 0.00, 145, -0.0040, -0.2143, 0.00, 0.00, 0.15, 8.02, 22, 21
1339326701156, 53.20, 0.00, 334, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 22, 21
1339326701450, 53.40, 0.00, 294, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 22, 21
1339326701749, 53.30, 0.00, 299, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 22, 21
1339326702029, 53.40, 0.00, 280, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 22, 21
1339326702314, 53.40, 0.00, 285, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 22, 21
1339326702634, 53.30, 0.00, 320, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 23, 22
1339326702949, 53.20, 0.00, 315, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 23, 22
1339326703208, 53.30, 0.00, 259, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 23, 22
1339326703545, 53.20, 0.00, 337, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 23, 22
1339326703858, 53.20, 0.10, 313, 0.0000, 0.0000, 0.00, 0.00, 0.15, 8.02, 22, 22
1339326704118, 53.20, 0.10, 260, 0.0072, 0.3842, 0.01, 0.38, 0.15, 8.02, 22, 22
1339326704417, 53.30, 0.10, 299, 0.0083, 0.4419, 0.02, 0.83, 0.15, 8.02, 22, 22
