time, fix, sats, latitute, longitude, sonar, alt, gps_alt, speed, CRS, roll, pitch, yaw
0, 1, 4, 59.9631350, 10.7263600, 0, 182.75, 208.82, 0.14, 170.25, -24, -24, 1172
1000, 1, 4, 59.9631500, 10.7263530, 0, 182.67, 208.74, 0.19, 170.25, -25, -29, 1167
2000, 1, 4, 59.9631540, 10.7263410, 0, 182.75, 208.64, 0.26, 170.25, -24, -43, 1171
3000, 1, 4, 59.9631610, 10.7263450, 0, 182.83, 208.65, 0.27, 170.25, -388, -199, 1133
4000, 1, 4, 59.9631690, 10.7263450, 0, 183.44, 208.68, 0.28, 323.26, -181, 165, 777
5000, 1, 4, 59.9631690, 10.7263400, 0, 183.7, 208.68, 0.33, 327, 74, 473, 730
6000, 1, 4, 59.9631730, 10.7263370, 0, 183.61, 208.89, 0.37, 331.74, 196, 350, 35940
7000, 1, 4, 59.9631730, 10.7263410, 0, 183.61, 208.73, 0.43, 330.46, 479, 170, 33784
8000, 0, 3, 59.9631730, 10.7263410, 0, 183.78, 208.56, 0.4, 324.25, 345, 146, 29753
9000, 1, 4, 59.9631690, 10.7263430, 0, 183.87, 208.01, 0.19, 320.9, 702, 586, 20786
10000, 1, 4, 59.9631690, 10.7263460, 0, 183.95, 207.67, 0.11, 320.9, -170, 1000, 18038
11000, 1, 4, 59.9631690, 10.7263430, 0, 184.22, 207.38, 0.05, 320.9, 8903, -901, 18976
12000, 1, 4, 59.9631690, 10.7263330, 0, 184.22, 207.25, 0.07, 320.9, 9095, -848, 18677
13000, 1, 4, 59.9631690, 10.7263210, 0, 184.04, 207.18, 0.12, 320.9, -277, -164, 17709
14000, 1, 4, 59.9631690, 10.7263080, 0, 183.87, 207.03, 0.13, 320.9, 183, -295, 17667
15000, 1, 4, 59.9631610, 10.7262950, 0, 184.3, 206.96, 0.13, 320.9, 969, 4182, 20161
16000, 1, 4, 59.9631540, 10.7262880, 0, 184.04, 206.96, 0.14, 320.9, -1299, 4776, 17217
17000, 1, 4, 59.9631500, 10.7262810, 0, 184.13, 206.94, 0.13, 320.9, -133, 6541, 19211
18000, 1, 4, 59.9631540, 10.7262650, 0, 184.13, 207.06, 0.09, 320.9, -254, 6110, 18915
19000, 1, 4, 59.9631540, 10.7262600, 0, 183.7, 207.14, 0.11, 320.9, 548, 5138, 18266
20000, 1, 4, 59.9631610, 10.7262660, 0, 183.87, 207.18, 0.11, 320.9, 286, 4389, 17981
21000, 1, 4, 59.9631690, 10.7262730, 0, 183.95, 207.21, 0.24, 320.9, 106, 4137, 17649
22000, 1, 4, 59.9631730, 10.7262720, 0, 184.04, 207.25, 0.25, 320.9, 301, 4058, 18510
23000, 1, 4, 59.9631690, 10.7262860, 0, 183.95, 207.27, 0.27, 54.73, -479, 3019, 13735
24000, 1, 4, 59.9631690, 10.7262860, 0, 185.34, 207.28, 0.31, 54.4, 201, 2039, 19304
