time, fix, sats, latitute, longitude, sonar, alt, gps_alt, speed, CRS, roll, pitch, yaw
0, 1, 4, 59.9631350, 10.7263600, 0, 182.75, 208.82, 0.14, 170.25, -24, -24, 1172
100, 1, 4, 59.9631350, 10.7263600, 0, 182.75, 208.82, 0.14, 170.25, -25, -23, 1171
200, 1, 4, 59.9631350, 10.7263600, 0, 182.67, 208.82, 0.14, 170.25, -25, -24, 1170
300, 1, 4, 59.9631350, 10.7263610, 0, 182.67, 208.79, 0.14, 170.25, -24, -23, 1169
400, 1, 4, 59.9631350, 10.7263610, 0, 182.67, 208.79, 0.14, 170.25, -24, -23, 1168
500, 1, 4, 59.9631420, 10.7263610, 0, 182.67, 208.75, 0.15, 170.25, -24, -23, 1168
600, 1, 4, 59.9631420, 10.7263610, 0, 182.67, 208.75, 0.15, 170.25, -24, -23, 1167
700, 1, 4, 59.9631420, 10.7263610, 0, 182.67, 208.75, 0.15, 170.25, -24, -24, 1166
800, 1, 4, 59.9631500, 10.7263580, 0, 182.67, 208.74, 0.17, 170.25, -24, -26, 1166
900, 1, 4, 59.9631500, 10.7263580, 0, 182.67, 208.74, 0.17, 170.25, -24, -27, 1166
1000, 1, 4, 59.9631500, 10.7263530, 0, 182.67, 208.74, 0.19, 170.25, -25, -29, 1167
1100, 1, 4, 59.9631500, 10.7263530, 0, 182.67, 208.74, 0.19, 170.25, -24, -31, 1168
1200, 1, 4, 59.9631500, 10.7263530, 0, 182.67, 208.74, 0.19, 170.25, -25, -32, 1169
1300, 1, 4, 59.9631540, 10.7263460, 0, 182.67, 208.72, 0.22, 170.25, -25, -35, 1170
1400, 1, 4, 59.9631540, 10.7263460, 0, 182.75, 208.72, 0.22, 170.25, -25, -37, 1170
1500, 1, 4, 59.9631540, 10.7263460, 0, 182.75, 208.69, 0.24, 170.25, -25, -39, 1170
1600, 1, 4, 59.9631540, 10.7263460, 0, 182.75, 208.69, 0.24, 170.25, -25, -40, 1171
1700, 1, 4, 59.9631540, 10.7263460, 0, 182.75, 208.69, 0.24, 170.25, -25, -42, 1171
1800, 1, 4, 59.9631540, 10.7263410, 0, 182.75, 208.67, 0.26, 170.25, -25, -44, 1171
1900, 1, 4, 59.9631540, 10.7263410, 0, 182.75, 208.67, 0.26, 170.25, -25, -44, 1171
2000, 1, 4, 59.9631540, 10.7263410, 0, 182.75, 208.64, 0.26, 170.25, -24, -43, 1171
2100, 1, 4, 59.9631540, 10.7263410, 0, 182.75, 208.64, 0.26, 170.25, -24, -42, 1170
2200, 1, 4, 59.9631540, 10.7263410, 0, 182.75, 208.64, 0.26, 170.25, -24, -42, 1171
