Time, Lat, Lon, Bearing, GPS Speed, Revs(rpm),Speed(km/h),LPK(l/100km),CO₂(g/km),Coolant(°C),Baro(mb),GPS Height(m)
1344450050621,00059.84140015,00010.82916927,00000.00,00000.00,00783.00,00000.00,00000.00,00000.00,00058.00,00998.12,00199.64
1344450050774,00059.84140015,00010.82916927,00000.00,00000.00,00783.00,00000.00,00000.00,00000.00,00058.00,00998.02,00199.64
1344450050923,00059.84140015,00010.82916927,00000.00,00000.00,00779.00,00000.00,00000.00,00000.00,00058.00,00998.20,00199.49
1344450051072,00059.84140015,00010.82916927,00000.00,00000.00,00779.00,00000.00,00000.00,00000.00,00058.00,00998.01,00199.49
1344450051221,00059.84140015,00010.82916927,00000.00,00000.00,00779.00,00000.00,00000.00,00000.00,00058.00,00997.97,00199.49
1344450051375,00059.84140015,00010.82916927,00000.00,00000.00,00779.00,00000.00,00000.00,00000.00,00058.00,00998.12,00199.49
1344450051523,00059.84140015,00010.82916927,00000.00,00000.00,00773.00,00000.00,00000.00,00000.00,00058.00,00997.94,00199.49
1344450051673,00059.84140015,00010.82916927,00000.00,00000.00,00773.00,00000.00,00000.00,00000.00,00058.00,00998.09,00199.49
1344450051821,00059.84140015,00010.82916927,00000.00,00000.00,00773.00,00000.00,00000.00,00000.00,00058.00,00998.18,00199.49
1344450051972,00059.84140015,00010.82916927,00000.00,00000.00,00773.00,00000.00,00000.00,00000.00,00058.00,00998.09,00199.12
1344450052125,00059.84140015,00010.82916927,00000.00,00000.00,00773.00,00000.00,00000.00,00000.00,00058.00,00998.05,00199.12
1344450052271,00059.84140015,00010.82916927,00000.00,00000.00,00773.00,00000.00,00000.00,00000.00,00058.00,00998.11,00199.12
1344450052445,00059.84140015,00010.82916927,00000.00,00000.00,00778.00,00000.00,00000.00,00000.00,00058.00,00998.13,00199.12
1344450052573,00059.84140015,00010.82916927,00000.00,00000.00,00778.00,00000.00,00000.00,00000.00,00058.00,00998.07,00199.12
1344450052726,00059.84140015,00010.82916927,00000.00,00000.00,00778.00,00000.00,00000.00,00000.00,00058.00,00997.91,00199.12
1344450052874,00059.84140015,00010.82916927,00000.00,00000.00,00778.00,00000.00,00000.00,00000.00,00058.00,00998.04,00199.12
1344450053025,00059.84140015,00010.82916927,00000.00,00000.00,00778.00,00000.00,00000.00,00000.00,00058.00,00998.17,00199.12
1344450053175,00059.84140015,00010.82916927,00000.00,00000.00,00778.00,00000.00,00000.00,00000.00,00058.00,00998.14,00199.12
1344450053324,00059.84140015,00010.82916927,00000.00,00000.00,00768.00,00000.00,00000.00,00000.00,00058.00,00998.07,00199.12
1344450053474,00059.84140015,00010.82916927,00000.00,00000.00,00768.00,00000.00,00000.00,00000.00,00058.00,00998.18,00199.12
1344450053626,00059.84140015,00010.82916927,00000.00,00000.00,00768.00,00000.00,00000.00,00000.00,00058.00,00998.07,00199.12
1344450053775,00059.84140015,00010.82916927,00000.00,00000.00,00768.00,00000.00,00000.00,00000.00,00058.00,00998.12,00199.12
1344450053924,00059.84140015,00010.82916927,00000.00,00000.00,00768.00,00000.00,00000.00,00000.00,00058.00,00997.99,00199.13
1344450054075,00059.84140015,00010.82916927,00000.00,00000.00,00762.00,00000.00,00000.00,00000.00,00058.00,00998.02,00199.13
1344450054226,00059.84140015,00010.82916927,00000.00,00000.00,00762.00,00000.00,00000.00,00000.00,00058.00,00998.05,00199.13
1344450054375,00059.84140015,00010.82916927,00000.00,00000.00,00762.00,00000.00,00000.00,00000.00,00058.00,00998.03,00199.13
1344450054526,00059.84140015,00010.82916927,00000.00,00000.00,00762.00,00000.00,00000.00,00000.00,00058.00,00998.02,00199.13
1344450054675,00059.84140015,00010.82916927,00000.00,00000.00,00762.00,00000.00,00000.00,00000.00,00058.00,00998.08,00199.13
1344450054825,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00998.10,00199.13
1344450054975,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00998.00,00199.13
1344450055125,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00998.10,00199.13
1344450055274,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00998.11,00199.13
1344450055427,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00998.15,00199.13
1344450055577,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00997.98,00199.13
1344450055731,00059.84140015,00010.82916927,00000.00,00000.00,01716.00,00000.00,00000.00,00000.00,00058.00,00998.01,00199.13
1344450055877,00059.84140015,00010.82916927,00000.00,00000.00,02165.00,00000.00,00000.00,00000.00,00058.00,00998.07,00199.13
1344450056027,00059.84140015,00010.82916927,00000.00,00000.00,02165.00,00000.00,00000.00,00000.00,00058.00,00997.97,00199.13
1344450056178,00059.84140015,00010.82916927,00000.00,00000.00,02165.00,00000.00,00000.00,00000.00,00058.00,00998.05,00199.13
1344450056341,00059.84140015,00010.82916927,00000.00,00000.00,02165.00,00000.00,00000.00,00000.00,00058.00,00998.09,00199.13
