Time, Lat, Lon, Bearing, GPS Speed, Revs(rpm),Speed(km/h),LPK(l/100km),CO2(g/km),Coolant(°C),Baro(mb),GPS Height(m)
1344496479312,00000.00000000,00000.00000000,00000.00,00000.00,01104.00,00014.00,00022.08,00584.02,00022.00,01002.62,00000.00
1344496479463,00000.00000000,00000.00000000,00000.00,00000.00,01104.00,00015.00,00022.08,00584.02,00022.00,01002.56,00000.00
1344496479612,00000.00000000,00000.00000000,00000.00,00000.00,01104.00,00015.00,00022.08,00584.02,00022.00,01002.52,00000.00
1344496479761,00000.00000000,00000.00000000,00000.00,00000.00,01104.00,00015.00,00022.08,00584.02,00022.00,01002.47,00000.00
1344496479911,00000.00000000,00000.00000000,00000.00,00000.00,01178.00,00015.00,00024.17,00639.41,00022.00,01002.54,00000.00
1344496480061,00000.00000000,00000.00000000,00000.00,00000.00,01178.00,00015.00,00024.17,00639.41,00022.00,01002.56,00000.00
1344496480212,00000.00000000,00000.00000000,00000.00,00000.00,01178.00,00015.00,00024.17,00639.41,00022.00,01002.62,00000.00
1344496480362,00000.00000000,00000.00000000,00000.00,00000.00,01178.00,00015.00,00024.17,00639.41,00022.00,01002.62,00000.00
1344496480516,00000.00000000,00000.00000000,00000.00,00000.00,01178.00,00015.00,00027.21,00719.75,00022.00,01002.53,00000.00
1344496480663,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00015.00,00027.21,00719.75,00022.00,01002.58,00000.00
1344496480815,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00018.00,00027.21,00719.75,00022.00,01002.44,00000.00
1344496480963,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00018.00,00027.21,00719.75,00022.00,01002.55,00000.00
1344496481116,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00018.00,00027.21,00719.75,00022.00,01002.50,00000.00
1344496481266,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00018.00,00027.21,00719.75,00022.00,01002.39,00000.00
1344496481414,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00018.00,00027.21,00719.75,00022.00,01002.46,00000.00
1344496481565,00000.00000000,00000.00000000,00000.00,00000.00,01332.00,00018.00,00021.63,00572.23,00022.00,01002.37,00000.00
1344496481716,00000.00000000,00000.00000000,00000.00,00000.00,01600.00,00018.00,00021.63,00572.23,00022.00,01002.48,00000.00
1344496481866,00000.00000000,00000.00000000,00000.00,00000.00,01600.00,00021.00,00021.63,00572.23,00022.00,01002.46,00000.00
1344496482015,00000.00000000,00000.00000000,00000.00,00000.00,01600.00,00021.00,00021.63,00572.23,00022.00,01002.61,00000.00
1344496482166,00000.00000000,00000.00000000,00000.00,00000.00,01600.00,00021.00,00021.63,00572.23,00022.00,01002.48,00000.00
1344496482319,00000.00000000,00000.00000000,00000.00,00000.00,01600.00,00021.00,00015.40,00407.33,00022.00,01002.44,00000.00
1344496482472,00000.00000000,00000.00000000,00000.00,00000.00,01655.00,00021.00,00015.40,00407.33,00022.00,01002.33,00000.00
1344496482617,00000.00000000,00000.00000000,00000.00,00000.00,01655.00,00022.00,00015.40,00407.33,00022.00,01002.60,00000.00
1344496482767,00000.00000000,00000.00000000,00000.00,00000.00,01655.00,00022.00,00015.40,00407.33,00022.00,01002.42,00000.00
1344496482918,00000.00000000,00000.00000000,00000.00,00000.00,01655.00,00022.00,00013.58,00407.33,00022.00,01002.50,00000.00
1344496483068,00000.00000000,00000.00000000,00000.00,00000.00,01655.00,00022.00,00013.58,00359.09,00022.00,01002.66,00000.00
1344496483219,00000.00000000,00000.00000000,00000.00,00000.00,01667.00,00022.00,00013.58,00359.09,00022.00,01002.53,00000.00
1344496483368,00000.00000000,00000.00000000,00000.00,00000.00,01667.00,00022.00,00013.58,00359.09,00022.00,01002.58,00000.00
1344496483517,00000.00000000,00000.00000000,00000.00,00000.00,01667.00,00022.00,00013.58,00359.09,00022.00,01002.54,00000.00
1344496483668,00000.00000000,00000.00000000,00000.00,00000.00,01667.00,00022.00,00013.58,00359.09,00022.00,01002.49,00000.00
1344496483824,00000.00000000,00000.00000000,00000.00,00000.00,01667.00,00022.00,00013.58,00359.09,00022.00,01002.62,00000.00
1344496483972,00000.00000000,00000.00000000,00000.00,00000.00,01667.00,00022.00,00013.58,00359.09,00023.00,01002.55,00000.00
1344496484122,00000.00000000,00000.00000000,00000.00,00000.00,01666.00,00022.00,00011.76,00311.06,00023.00,01002.55,00000.00
1344496484273,00000.00000000,00000.00000000,00000.00,00000.00,01666.00,00022.00,00011.76,00311.06,00023.00,01002.52,00000.00
1344496484424,00000.00000000,00000.00000000,00000.00,00000.00,01666.00,00022.00,00011.76,00311.06,00023.00,01002.47,00000.00
1344496484574,00000.00000000,00000.00000000,00000.00,00000.00,01666.00,00022.00,00011.76,00311.06,00023.00,01002.43,00000.00
1344496484724,00000.00000000,00000.00000000,00000.00,00000.00,01666.00,00022.00,00007.93,00209.66,00023.00,01002.55,00000.00
1344496484875,00000.00000000,00000.00000000,00000.00,00000.00,01666.00,00022.00,00007.93,00209.66,00023.00,01002.50,00000.00
1344496485025,00000.00000000,00000.00000000,00000.00,00000.00,01461.00,00021.00,00007.93,00209.66,00023.00,01002.51,00000.00
1344496485174,00000.00000000,00000.00000000,00000.00,00000.00,01461.00,00021.00,00007.93,00209.66,00023.00,01002.43,00000.00
1344496485325,00000.00000000,00000.00000000,00000.00,00000.00,01461.00,00021.00,00007.93,00209.66,00023.00,01002.47,00000.00
1344496485475,00000.00000000,00000.00000000,00000.00,00000.00,01461.00,00021.00,00007.78,00205.90,00023.00,01002.46,00000.00
1344496485627,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00021.00,00007.78,00205.90,00023.00,01002.43,00000.00
1344496485777,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00007.78,00205.90,00023.00,01002.58,00000.00
1344496485925,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00007.78,00205.90,00023.00,01002.58,00000.00
1344496486076,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00007.78,00205.90,00023.00,01002.36,00000.00
1344496486226,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00007.78,00205.90,00023.00,01002.41,00000.00
1344496486376,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00007.78,00205.90,00024.00,01002.32,00000.00
1344496486527,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00009.86,00205.90,00024.00,01002.45,00000.00
1344496486677,00000.00000000,00000.00000000,00000.00,00000.00,01093.00,00020.00,00009.86,00260.87,00024.00,01002.50,00000.00
1344496486827,00000.00000000,00000.00000000,00000.00,00000.00,01459.00,00019.00,00009.86,00260.87,00024.00,01002.54,00000.00
